so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.002,0.3,23,2,2,1,2024-04-23 10:00,1,0.007,1,0.049
1,62,0.002,0.2,14,2,2,1,2024-04-23 09:00,1,0.009,1,0.044
1,59,0.002,0.3,14,2,2,1,2024-04-23 08:00,1,0.012,1,0.041
1,51,0.002,0.3,16,2,2,1,2024-04-23 07:00,1,0.017,1,0.031
1,53,0.002,0.3,15,2,2,1,2024-04-23 06:00,1,0.013,1,0.034
1,60,0.002,0.3,18,2,2,1,2024-04-23 05:00,1,0.005,1,0.042
1,59,0.002,0.3,17,2,2,1,2024-04-23 04:00,1,0.005,1,0.041
1,61,0.002,0.3,18,2,2,1,2024-04-23 03:00,1,0.005,1,0.043
1,63,0.002,0.5,20,2,2,1,2024-04-23 02:00,1,0.004,1,0.046
1,61,0.002,0.6,20,2,2,1,2024-04-23 01:00,1,0.005,1,0.043
1,60,0.002,0.3,25,2,2,1,2024-04-22 24:00,1,0.008,1,0.042
1,59,0.002,0.3,25,2,2,1,2024-04-22 23:00,1,0.010,1,0.041
1,63,0.002,0.3,30,2,2,1,2024-04-22 22:00,1,0.008,1,0.045
1,50,0.002,0.4,30,1,1,1,2024-04-22 21:00,1,0.025,1,0.029
1,56,0.002,0.3,29,2,2,1,2024-04-22 20:00,1,0.025,2,0.037
1,68,0.002,0.3,28,2,2,1,2024-04-22 19:00,1,0.013,2,0.052
1,75,0.002,0.3,29,2,2,1,2024-04-22 18:00,1,0.007,2,0.060
1,77,0.002,0.3,35,2,2,1,2024-04-22 17:00,1,0.006,2,0.062
1,76,0.002,0.3,33,2,2,1,2024-04-22 16:00,1,0.006,2,0.061
1,76,0.002,0.3,32,2,2,1,2024-04-22 15:00,1,0.006,2,0.061
1,75,0.002,0.3,38,2,2,1,2024-04-22 14:00,1,0.005,2,0.060
1,73,0.002,0.3,33,2,2,1,2024-04-22 13:00,1,0.006,2,0.058
1,68,0.002,0.3,33,2,2,1,2024-04-22 12:00,1,0.008,2,0.051
