so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.002,0.3,31,2,2,1,2024-04-23 11:00,1,0.003,1,0.058
1,73,0.003,0.3,28,2,2,1,2024-04-23 10:00,1,0.003,1,0.058
1,63,0.003,0.3,32,2,2,1,2024-04-23 09:00,1,0.007,1,0.045
1,43,0.002,0.3,28,1,1,1,2024-04-23 08:00,1,0.013,1,0.017
1,43,0.002,0.3,27,1,1,1,2024-04-23 07:00,1,0.012,1,0.010
1,43,0.002,0.2,26,1,1,1,2024-04-23 06:00,1,0.006,1,0.017
1,43,0.002,0.2,22,1,1,1,2024-04-23 05:00,1,0.005,1,0.019
1,43,0.002,0.2,25,1,1,1,2024-04-23 04:00,1,0.004,1,0.022
1,45,0.002,0.2,27,1,1,1,2024-04-23 03:00,1,0.005,1,0.026
1,48,0.002,0.2,25,1,1,1,2024-04-23 02:00,1,0.004,1,0.029
1,48,0.002,0.2,27,1,1,1,2024-04-23 01:00,1,0.005,1,0.029
1,53,0.002,0.3,31,2,2,1,2024-04-22 24:00,1,0.005,1,0.034
1,63,0.002,0.2,32,2,2,1,2024-04-22 23:00,1,0.004,1,0.045
1,63,0.002,0.3,26,2,2,1,2024-04-22 22:00,1,0.004,1,0.045
1,61,0.002,0.3,25,2,2,1,2024-04-22 21:00,1,0.005,1,0.043
1,60,0.002,0.3,31,2,2,1,2024-04-22 20:00,1,0.005,1,0.042
1,62,0.002,0.3,24,2,2,1,2024-04-22 19:00,1,0.005,1,0.044
1,64,0.002,0.2,23,2,2,1,2024-04-22 18:00,1,0.005,1,0.047
1,63,0.002,0.2,22,2,2,1,2024-04-22 17:00,1,0.006,1,0.046
1,65,0.002,0.2,26,2,2,1,2024-04-22 16:00,1,0.003,1,0.048
1,68,0.002,0.3,24,2,2,1,2024-04-22 15:00,1,0.004,1,0.051
1,69,0.002,0.3,20,2,2,1,2024-04-22 14:00,1,0.003,1,0.053
