coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,63,0.003,0.4,,22,,,,2024-04-23 10:00,0.018,1,0.046,1,2,2,1,1
,64,0.003,0.4,,21,,,,2024-04-23 09:00,0.017,1,0.047,1,2,2,1,1
,64,0.003,0.4,,20,,,,2024-04-23 08:00,0.016,1,0.047,1,2,2,1,1
,65,0.003,0.4,,21,,,,2024-04-23 07:00,0.015,1,0.048,1,2,2,1,1
,63,0.003,0.4,,19,,,,2024-04-23 06:00,0.014,2,0.046,1,2,2,1,1
,61,0.004,0.4,,25,,,,2024-04-23 05:00,0.014,2,0.043,1,2,2,1,1
,64,0.003,0.4,,24,,,,2024-04-23 04:00,0.015,2,0.040,1,2,2,1,1
,66,0.003,0.4,,30,,,,2024-04-23 03:00,0.018,2,0.037,1,2,2,1,1
,69,0.004,0.4,,46,,,,2024-04-23 02:00,0.022,2,0.042,1,2,2,1,1
,71,0.003,0.5,,47,,,,2024-04-23 01:00,0.023,2,0.055,1,2,2,1,1
,68,0.003,0.5,,48,,,,2024-04-22 24:00,0.028,2,0.052,1,2,2,1,1
,63,0.003,0.5,,46,,,,2024-04-22 23:00,0.037,2,0.041,1,2,2,2,1
,73,0.003,0.5,,42,,,,2024-04-22 22:00,0.027,2,0.057,1,2,2,1,1
,80,0.004,0.5,,44,,,,2024-04-22 21:00,0.023,2,0.066,1,2,2,1,1
,77,0.003,0.5,,47,,,,2024-04-22 20:00,0.028,2,0.062,1,2,2,1,1
,78,0.004,0.4,,44,,,,2024-04-22 19:00,0.030,2,0.063,1,2,2,1,1
,84,0.003,0.4,,48,,,,2024-04-22 18:00,0.025,2,0.071,1,2,2,1,1
,82,0.003,0.4,,31,,,,2024-04-22 17:00,0.025,2,0.068,1,2,2,1,1
,83,0.003,0.4,,32,,,,2024-04-22 16:00,0.017,2,0.069,1,2,2,1,1
,81,0.004,0.4,,29,,,,2024-04-22 15:00,0.015,2,0.067,1,2,2,1,1
,75,0.003,0.4,,38,,,,2024-04-22 14:00,0.015,2,0.060,1,2,2,1,1
