coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,70,0.002,0.4,,34,,,,2024-04-23 10:00,0.005,1,0.054,1,2,2,1,1
,69,0.002,0.5,,33,,,,2024-04-23 09:00,0.008,1,0.053,1,2,2,1,1
,72,0.002,0.5,,27,,,,2024-04-23 08:00,0.008,1,0.056,1,2,2,1,1
,74,0.002,0.4,,22,,,,2024-04-23 07:00,0.006,1,0.059,1,2,2,1,1
,76,0.002,0.4,,24,,,,2024-04-23 06:00,0.004,1,0.061,1,2,2,1,1
,76,0.002,0.4,,22,,,,2024-04-23 05:00,0.003,1,0.061,1,2,2,1,1
,75,0.002,0.4,,22,,,,2024-04-23 04:00,0.003,1,0.060,1,2,2,1,1
,76,0.002,0.4,,23,,,,2024-04-23 03:00,0.003,1,0.061,1,2,2,1,1
,73,0.002,0.4,,24,,,,2024-04-23 02:00,0.003,1,0.058,1,2,2,1,1
,73,0.002,0.4,,27,,,,2024-04-23 01:00,0.004,1,0.057,1,2,2,1,1
,72,0.002,0.4,,25,,,,2024-04-22 24:00,0.004,1,0.056,1,2,2,1,1
,71,0.002,0.4,,28,,,,2024-04-22 23:00,0.004,1,0.055,1,2,2,1,1
,70,0.002,0.4,,24,,,,2024-04-22 22:00,0.005,1,0.054,1,2,2,1,1
,68,0.002,0.4,,24,,,,2024-04-22 21:00,0.005,1,0.051,1,2,2,1,1
,67,0.002,0.4,,28,,,,2024-04-22 20:00,0.006,2,0.050,1,2,2,1,1
,66,0.002,0.4,,29,,,,2024-04-22 19:00,0.006,2,0.049,1,2,2,1,1
,67,0.002,0.4,,31,,,,2024-04-22 18:00,0.005,2,0.050,1,2,2,1,1
,66,0.002,0.4,,35,,,,2024-04-22 17:00,0.005,2,0.049,1,2,2,1,1
,64,0.002,0.4,,35,,,,2024-04-22 16:00,0.005,2,0.047,1,2,2,1,1
,63,0.002,0.4,,29,,,,2024-04-22 15:00,0.005,2,0.045,1,2,2,1,1
,61,0.002,0.4,,23,,,,2024-04-22 14:00,0.006,2,0.043,1,2,2,1,1
,62,0.002,0.4,,40,,,,2024-04-22 13:00,0.006,2,0.044,1,2,2,1,1
