so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,65,0.002,0.3,34,2,2,1,2024-04-23 11:00,1,0.013,2,0.048,,,,
1,63,0.002,0.2,35,2,2,1,2024-04-23 10:00,1,0.015,2,0.045,,,,
1,59,0.002,0.3,31,2,2,1,2024-04-23 09:00,1,0.019,2,0.040,,,,
1,61,0.002,0.2,30,2,2,1,2024-04-23 08:00,1,0.020,2,0.039,,,,
1,64,0.002,0.3,27,1,2,1,2024-04-23 07:00,1,0.027,2,0.027,,,,
1,66,0.002,0.2,23,2,2,1,2024-04-23 06:00,1,0.020,2,0.033,,,,
1,74,0.002,0.2,23,2,2,1,2024-04-23 05:00,1,0.012,2,0.041,,,,
1,90,0.002,0.3,30,2,2,1,2024-04-23 04:00,1,0.012,2,0.038,,,,
1,95,0.003,0.3,33,2,2,1,2024-04-23 03:00,1,0.014,2,0.036,,,,
1,95,0.004,0.4,66,2,2,1,2024-04-23 02:00,1,0.026,2,0.035,,,,
1,90,0.005,0.5,86,1,2,2,2024-04-23 01:00,1,0.044,2,0.022,,,,
1,77,0.002,0.4,60,2,2,1,2024-04-22 24:00,1,0.026,2,0.043,,,,
1,87,0.003,0.3,52,2,2,1,2024-04-22 23:00,1,0.018,2,0.074,,,,
1,83,0.003,0.3,52,2,2,1,2024-04-22 22:00,1,0.021,2,0.070,,,,
1,72,0.006,0.3,56,2,2,2,2024-04-22 21:00,1,0.039,2,0.053,,,,
1,78,0.003,0.3,58,2,2,1,2024-04-22 20:00,1,0.029,2,0.064,,,,
1,86,0.004,0.3,54,2,2,1,2024-04-22 19:00,1,0.023,2,0.073,,,,
1,80,0.004,0.3,51,2,2,2,2024-04-22 18:00,1,0.031,2,0.066,,,,
,-,-,-,55,,,,2024-04-22 17:00,,-,2,-,통신장애,통신장애,통신장애,통신장애
,-,-,-,45,,,,2024-04-22 16:00,,-,2,-,통신장애,통신장애,통신장애,통신장애
,-,-,-,36,,,,2024-04-22 15:00,,-,2,-,통신장애,통신장애,통신장애,통신장애
1,75,0.002,0.3,38,2,2,1,2024-04-22 14:00,1,0.011,2,0.060,,,,
