so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.2,25,2,2,1,2024-04-23 11:00,1,0.007,1,0.056
1,69,0.002,0.2,25,2,2,1,2024-04-23 10:00,1,0.007,2,0.053
1,68,0.002,0.2,23,2,2,1,2024-04-23 09:00,1,0.007,2,0.052
1,59,0.002,0.3,29,2,2,1,2024-04-23 08:00,1,0.015,2,0.041
1,61,0.002,0.3,76,1,2,2,2024-04-23 07:00,1,0.037,2,0.011
1,43,0.002,0.3,28,1,1,1,2024-04-23 06:00,1,0.018,1,0.025
1,43,0.002,0.3,25,1,1,1,2024-04-23 05:00,1,0.024,1,0.025
1,61,0.002,0.2,22,2,2,1,2024-04-23 04:00,1,0.008,1,0.043
1,65,0.002,0.2,17,2,2,1,2024-04-23 03:00,1,0.005,1,0.048
1,66,0.002,0.2,25,2,2,1,2024-04-23 02:00,1,0.005,2,0.049
1,67,0.002,0.2,24,2,2,1,2024-04-23 01:00,1,0.004,2,0.050
1,64,0.002,0.2,25,2,2,1,2024-04-22 24:00,1,0.006,2,0.047
1,60,0.002,0.3,48,2,2,1,2024-04-22 23:00,1,0.008,2,0.042
1,57,0.002,0.3,40,2,2,1,2024-04-22 22:00,1,0.012,2,0.038
1,65,0.002,0.3,33,2,2,1,2024-04-22 21:00,1,0.012,2,0.048
1,69,0.002,0.3,36,2,2,1,2024-04-22 20:00,1,0.011,2,0.053
1,78,0.002,0.2,32,2,2,1,2024-04-22 19:00,1,0.006,1,0.064
1,79,0.002,0.2,25,2,2,1,2024-04-22 18:00,1,0.005,2,0.065
1,79,0.002,0.2,27,2,2,1,2024-04-22 17:00,1,0.005,2,0.065
1,79,0.002,0.2,27,2,2,1,2024-04-22 16:00,1,0.005,2,0.065
1,79,0.002,0.2,28,2,2,1,2024-04-22 15:00,1,0.004,2,0.065
1,77,0.002,0.2,31,2,2,1,2024-04-22 14:00,1,0.004,2,0.062
