so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,82,0.004,0.2,30,2,2,1,2024-04-23 11:00,1,0.004,1,0.068,,,,,
1,82,0.004,0.2,38,2,2,1,2024-04-23 10:00,1,0.004,1,0.068,,,,,
1,78,0.004,0.2,20,2,2,1,2024-04-23 09:00,1,0.006,1,0.063,,,,,
1,71,0.004,0.2,14,2,2,1,2024-04-23 08:00,1,0.008,1,0.055,,,,,
1,71,0.004,0.2,19,2,2,1,2024-04-23 07:00,1,0.007,1,0.055,,,,,
1,73,0.004,0.2,16,2,2,1,2024-04-23 06:00,1,0.005,1,0.058,,,,,
1,75,0.004,0.2,16,2,2,1,2024-04-23 05:00,1,0.004,1,0.060,,,,,
1,75,0.004,0.2,20,2,2,1,2024-04-23 04:00,1,0.004,1,0.060,,,,,
1,75,0.004,0.2,16,2,2,1,2024-04-23 03:00,1,0.004,1,0.060,,,,,
1,72,0.004,0.2,22,2,2,1,2024-04-23 02:00,1,0.004,1,0.056,,,,,
1,68,0.004,0.2,20,2,2,1,2024-04-23 01:00,1,0.004,1,0.051,,,,,
1,64,0.004,0.2,20,2,2,1,2024-04-22 24:00,1,0.005,1,0.047,,,,,
1,63,0.004,0.2,23,2,2,1,2024-04-22 23:00,1,0.006,1,0.045,,,,,
1,61,0.004,0.2,22,2,2,1,2024-04-22 22:00,1,0.007,1,0.043,,,,,
1,62,0.004,0.2,27,2,2,1,2024-04-22 21:00,1,0.006,1,0.044,,,,,
1,63,0.004,0.2,34,2,2,1,2024-04-22 20:00,1,0.006,1,0.045,,,,,
1,63,0.004,0.2,26,2,2,1,2024-04-22 19:00,1,0.008,1,0.045,,,,,
1,67,0.004,0.2,19,2,2,1,2024-04-22 18:00,1,0.006,1,0.050,,,,,
1,-,0.004,0.2,19,2,,1,2024-04-22 17:00,1,0.006,,0.051,,,,,
1,-,0.004,0.2,21,2,,1,2024-04-22 16:00,1,0.005,,0.051,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,58,0.006,0.4,26,2,2,1,2024-04-22 13:00,1,0.015,1,0.040,,,,,
