so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.003,0.4,21,2,2,1,2024-04-23 11:00,1,0.004,1,0.052
1,66,0.003,0.4,33,2,2,1,2024-04-23 10:00,1,0.004,2,0.049
1,65,0.003,0.4,29,2,2,1,2024-04-23 09:00,1,0.004,2,0.048
1,63,0.003,0.4,30,2,2,1,2024-04-23 08:00,1,0.004,2,0.045
1,59,0.003,0.4,28,2,2,1,2024-04-23 07:00,1,0.004,2,0.041
1,58,0.003,0.4,28,2,2,1,2024-04-23 06:00,1,0.004,2,0.040
1,58,0.003,0.4,35,2,2,1,2024-04-23 05:00,1,0.004,2,0.040
1,58,0.003,0.4,37,2,2,1,2024-04-23 04:00,1,0.005,2,0.039
1,57,0.003,0.4,42,2,2,1,2024-04-23 03:00,1,0.005,2,0.038
1,55,0.003,0.4,23,2,2,1,2024-04-23 02:00,1,0.005,1,0.036
1,54,0.003,0.4,36,2,2,1,2024-04-23 01:00,1,0.005,2,0.035
1,54,0.003,0.4,43,2,2,1,2024-04-22 24:00,1,0.006,2,0.035
1,56,0.003,0.4,24,2,2,1,2024-04-22 23:00,1,0.006,1,0.037
1,58,0.003,0.4,35,2,2,1,2024-04-22 22:00,1,0.006,1,0.040
1,59,0.003,0.4,36,2,2,1,2024-04-22 21:00,1,0.006,1,0.041
1,63,0.003,0.4,15,2,2,1,2024-04-22 20:00,1,0.006,1,0.045
1,67,0.003,0.4,15,2,2,1,2024-04-22 19:00,1,0.005,1,0.050
1,70,0.003,0.4,21,2,2,1,2024-04-22 18:00,1,0.004,1,0.054
1,72,0.003,0.4,28,2,2,1,2024-04-22 17:00,1,0.004,2,0.056
1,73,0.003,0.4,34,2,2,1,2024-04-22 16:00,1,0.004,2,0.057
1,73,0.003,0.4,37,2,2,1,2024-04-22 15:00,1,0.004,2,0.057
1,70,0.003,0.4,48,2,2,1,2024-04-22 14:00,1,0.004,2,0.054
1,68,0.003,0.4,43,2,2,1,2024-04-22 13:00,1,0.004,1,0.051
