coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,2,-,,,,,
통신장애,-,-,-,,35,통신장애,통신장애,통신장애,2024-04-23 10:00,-,2,-,,,,,
,68,0.001,0.3,,35,,,,2024-04-23 09:00,0.007,2,0.052,1,2,2,1,1
,65,0.001,0.3,,27,,,,2024-04-23 08:00,0.008,2,0.048,1,2,2,1,1
,64,0.002,0.3,,27,,,,2024-04-23 07:00,0.007,2,0.047,1,2,2,1,1
,62,0.001,0.3,,23,,,,2024-04-23 06:00,0.007,2,0.044,1,2,2,1,1
,56,0.001,0.3,,28,,,,2024-04-23 05:00,0.008,2,0.037,1,2,2,1,1
,56,0.001,0.3,,27,,,,2024-04-23 04:00,0.008,2,0.031,1,2,2,1,1
,56,0.001,0.4,,29,,,,2024-04-23 03:00,0.010,2,0.023,1,1,2,1,1
,59,0.001,0.4,,38,,,,2024-04-23 02:00,0.010,2,0.025,1,1,2,1,1
,59,0.002,0.4,,42,,,,2024-04-23 01:00,0.011,2,0.029,1,1,2,1,1
,61,0.002,0.4,,43,,,,2024-04-22 24:00,0.012,2,0.030,1,1,2,1,1
,58,0.002,0.4,,43,,,,2024-04-22 23:00,0.012,2,0.034,1,2,2,1,1
,64,0.002,0.3,,46,,,,2024-04-22 22:00,0.008,2,0.047,1,2,2,1,1
,68,0.002,0.3,,49,,,,2024-04-22 21:00,0.008,2,0.051,1,2,2,1,1
,64,0.001,0.3,,27,,,,2024-04-22 20:00,0.007,1,0.047,1,2,2,1,1
,59,0.001,0.3,,24,,,,2024-04-22 19:00,0.008,1,0.041,1,2,2,1,1
,55,0.001,0.3,,27,,,,2024-04-22 18:00,0.011,1,0.036,1,2,2,1,1
,57,0.002,0.3,,20,,,,2024-04-22 17:00,0.010,2,0.038,1,2,2,1,1
,58,0.002,0.3,,29,,,,2024-04-22 16:00,0.009,2,0.039,1,2,2,1,1
,63,0.002,0.3,,31,,,,2024-04-22 15:00,0.010,2,0.045,1,2,2,1,1
,73,0.001,0.3,,39,,,,2024-04-22 14:00,0.006,2,0.057,1,2,2,1,1
