so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,61,0.001,0.3,23,2,2,1,2024-04-23 11:00,1,0.005,1,0.043,,,,,
1,58,0.002,0.3,19,2,2,1,2024-04-23 10:00,1,0.006,1,0.040,,,,,
1,55,0.001,0.3,15,2,2,1,2024-04-23 09:00,1,0.008,1,0.036,,,,,
1,53,0.001,0.3,15,2,2,1,2024-04-23 08:00,1,0.010,1,0.033,,,,,
1,51,0.002,0.3,18,2,2,1,2024-04-23 07:00,1,0.011,1,0.031,,,,,
1,53,0.001,0.3,16,2,2,1,2024-04-23 06:00,1,0.007,1,0.034,,,,,
1,54,0.001,0.3,23,2,2,1,2024-04-23 05:00,1,0.006,2,0.035,,,,,
1,55,0.001,0.3,22,2,2,1,2024-04-23 04:00,1,0.005,2,0.034,,,,,
1,59,0.002,0.3,30,2,2,1,2024-04-23 03:00,1,0.007,2,0.032,,,,,
1,61,0.002,0.3,38,2,2,1,2024-04-23 02:00,1,0.006,2,0.033,,,,,
1,61,0.002,0.3,50,2,2,1,2024-04-23 01:00,1,0.007,2,0.033,,,,,
1,59,0.002,0.4,52,2,2,1,2024-04-22 24:00,1,0.015,2,0.037,,,,,
1,58,0.002,0.4,45,2,2,1,2024-04-22 23:00,1,0.013,2,0.039,,,,,
1,54,0.001,0.3,34,2,2,1,2024-04-22 22:00,1,0.009,2,0.035,,,,,
1,52,0.002,0.4,32,2,2,1,2024-04-22 21:00,1,0.016,2,0.032,,,,,
1,58,0.002,0.4,36,2,2,1,2024-04-22 20:00,1,0.011,2,0.040,,,,,
1,62,0.002,0.3,27,2,2,1,2024-04-22 19:00,1,0.008,1,0.044,,,,,
1,63,0.002,0.3,28,2,2,1,2024-04-22 18:00,1,0.007,2,0.046,,,,,
1,63,0.002,0.3,29,2,2,1,2024-04-22 17:00,1,0.006,2,0.046,,,,,
1,63,0.002,0.3,28,2,2,1,2024-04-22 16:00,1,0.006,2,0.046,,,,,
1,-,0.002,0.3,32,2,,1,2024-04-22 15:00,1,0.006,,0.044,,,,,
1,-,0.002,0.3,44,2,,1,2024-04-22 14:00,1,0.005,,0.043,,,,,
,-,-,-,-,,,,2024-04-22 13:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
