so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,50,0.002,0.4,21,1,1,1,2024-04-23 11:00,1,0.007,1,0.029
1,51,0.002,0.4,21,1,2,1,2024-04-23 10:00,1,0.009,1,0.028
1,54,0.002,0.4,25,1,2,1,2024-04-23 09:00,1,0.016,1,0.022
1,51,0.002,0.4,23,1,2,1,2024-04-23 08:00,1,0.026,1,0.012
1,50,0.002,0.4,24,1,1,1,2024-04-23 07:00,1,0.023,1,0.012
1,50,0.002,0.4,23,1,1,1,2024-04-23 06:00,1,0.018,1,0.013
1,47,0.002,0.4,26,1,1,1,2024-04-23 05:00,1,0.018,1,0.014
1,43,0.002,0.3,21,1,1,1,2024-04-23 04:00,1,0.012,1,0.019
1,45,0.002,0.3,28,1,1,1,2024-04-23 03:00,1,0.011,1,0.020
1,47,0.002,0.3,20,1,1,1,2024-04-23 02:00,1,0.007,1,0.020
1,50,0.002,0.4,23,1,1,1,2024-04-23 01:00,1,0.007,1,0.017
1,51,0.002,0.4,22,1,2,1,2024-04-22 24:00,1,0.007,2,0.016
1,53,0.002,0.4,39,1,2,1,2024-04-22 23:00,1,0.016,2,0.014
1,52,0.002,0.4,34,1,2,1,2024-04-22 22:00,1,0.018,2,0.015
1,52,0.002,0.4,33,1,2,1,2024-04-22 21:00,1,0.013,2,0.017
1,52,0.003,0.4,32,1,2,1,2024-04-22 20:00,1,0.010,2,0.014
1,52,0.003,0.4,34,1,2,1,2024-04-22 19:00,1,0.008,2,0.017
1,51,0.003,0.4,31,1,2,1,2024-04-22 18:00,1,0.007,2,0.014
1,51,0.003,0.4,31,1,2,1,2024-04-22 17:00,1,0.007,2,0.016
1,51,0.002,0.4,32,1,2,1,2024-04-22 16:00,1,0.007,2,0.017
1,51,0.002,0.4,25,1,2,1,2024-04-22 15:00,1,0.006,2,0.024
1,53,0.002,0.4,24,1,2,1,2024-04-22 14:00,1,0.006,2,0.020
