so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.002,0.3,40,2,2,1,2024-04-23 11:00,1,0.004,2,0.048
1,57,0.002,0.3,45,2,2,1,2024-04-23 10:00,1,0.005,2,0.038
1,57,0.002,0.3,43,2,2,1,2024-04-23 09:00,1,0.005,1,0.038
1,40,0.002,0.3,24,1,1,1,2024-04-23 08:00,1,0.005,1,0.022
1,40,0.002,0.3,24,1,1,1,2024-04-23 07:00,1,0.006,1,0.015
1,42,0.002,0.3,27,1,1,1,2024-04-23 06:00,1,0.004,1,0.016
1,43,0.002,0.3,29,1,1,1,2024-04-23 05:00,1,0.004,1,0.019
1,40,0.002,0.3,27,1,1,1,2024-04-23 04:00,1,0.003,1,0.021
1,38,0.002,0.3,32,1,1,1,2024-04-23 03:00,1,0.004,1,0.023
1,40,0.002,0.3,23,1,1,1,2024-04-23 02:00,1,0.005,1,0.020
1,37,0.002,0.3,17,1,1,1,2024-04-23 01:00,1,0.004,1,0.022
1,51,0.002,0.3,18,2,2,1,2024-04-22 24:00,1,0.005,1,0.031
1,50,0.002,0.3,17,1,1,1,2024-04-22 23:00,1,0.005,1,0.030
1,53,0.003,0.3,10,2,2,1,2024-04-22 22:00,1,0.005,1,0.033
1,58,0.003,0.3,13,2,2,1,2024-04-22 21:00,1,0.004,1,0.039
1,58,0.003,0.3,19,2,2,1,2024-04-22 20:00,1,0.004,1,0.039
1,61,0.002,0.3,19,2,2,1,2024-04-22 19:00,1,0.005,1,0.043
1,58,0.002,0.3,17,2,2,1,2024-04-22 18:00,1,0.009,1,0.040
1,61,0.002,0.3,12,2,2,1,2024-04-22 17:00,1,0.004,1,0.043
1,62,0.002,0.3,20,2,2,1,2024-04-22 16:00,1,0.003,1,0.044
1,59,0.002,0.3,16,2,2,1,2024-04-22 15:00,1,0.003,1,0.041
1,58,0.002,0.3,16,2,2,1,2024-04-22 14:00,1,0.004,1,0.040
1,56,0.002,0.3,22,2,2,1,2024-04-22 13:00,1,0.005,1,0.036
