so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,45,0.002,0.3,25,1,1,1,2024-04-23 11:00,1,0.006,1,0.027
1,37,0.002,0.3,26,1,1,1,2024-04-23 10:00,1,0.006,1,0.022
1,35,0.002,0.3,21,1,1,1,2024-04-23 09:00,1,0.008,1,0.020
1,35,0.002,0.3,11,1,1,1,2024-04-23 08:00,1,0.011,1,0.014
1,38,0.002,0.3,21,1,1,1,2024-04-23 07:00,1,0.011,1,0.017
1,42,0.002,0.3,24,1,1,1,2024-04-23 06:00,1,0.007,1,0.025
1,40,0.002,0.3,16,1,1,1,2024-04-23 05:00,1,0.006,1,0.024
1,42,0.002,0.3,21,1,1,1,2024-04-23 04:00,1,0.008,1,0.025
1,43,0.002,0.3,21,1,1,1,2024-04-23 03:00,1,0.008,1,0.026
1,45,0.002,0.3,21,1,1,1,2024-04-23 02:00,1,0.007,1,0.027
1,47,0.002,0.3,25,1,1,1,2024-04-23 01:00,1,0.007,1,0.023
1,48,0.002,0.4,23,1,1,1,2024-04-22 24:00,1,0.008,1,0.017
1,51,0.002,0.4,32,1,2,1,2024-04-22 23:00,1,0.009,2,0.013
1,51,0.002,0.4,26,1,2,1,2024-04-22 22:00,1,0.010,2,0.015
1,53,0.002,0.4,35,1,2,1,2024-04-22 21:00,1,0.008,2,0.017
1,52,0.002,0.4,40,1,2,1,2024-04-22 20:00,1,0.008,2,0.019
1,50,0.003,0.4,32,1,1,1,2024-04-22 19:00,1,0.007,1,0.022
1,48,0.002,0.4,33,1,1,1,2024-04-22 18:00,1,0.007,1,0.019
1,48,0.003,0.4,31,1,1,1,2024-04-22 17:00,1,0.007,1,0.017
1,48,0.002,0.4,22,1,1,1,2024-04-22 16:00,1,0.006,1,0.021
1,50,0.002,0.3,22,1,1,1,2024-04-22 15:00,1,0.006,1,0.026
1,52,0.002,0.3,26,1,2,1,2024-04-22 14:00,1,0.006,2,0.023
