so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.002,0.3,35,2,2,1,2024-04-23 12:00,1,0.005,2,0.052
1,66,0.003,0.3,35,2,2,1,2024-04-23 11:00,1,0.008,1,0.049
1,63,0.003,0.3,34,2,2,1,2024-04-23 10:00,1,0.017,1,0.046
1,62,0.002,0.4,29,2,2,1,2024-04-23 09:00,1,0.019,1,0.044
1,68,0.002,0.3,27,2,2,1,2024-04-23 08:00,1,0.010,1,0.052
1,67,0.002,0.3,27,2,2,1,2024-04-23 07:00,1,0.011,1,0.050
1,68,0.002,0.3,28,2,2,1,2024-04-23 06:00,1,0.008,1,0.052
1,70,0.002,0.3,29,2,2,1,2024-04-23 05:00,1,0.007,1,0.054
1,72,0.002,0.3,32,2,2,1,2024-04-23 04:00,1,0.006,1,0.056
1,67,0.002,0.3,30,2,2,1,2024-04-23 03:00,1,0.009,1,0.050
1,70,0.002,0.3,28,2,2,1,2024-04-23 02:00,1,0.005,1,0.054
1,63,0.002,0.3,28,2,2,1,2024-04-23 01:00,1,0.007,1,0.046
1,58,0.002,0.3,27,2,2,1,2024-04-22 24:00,1,0.011,1,0.040
1,59,0.003,0.3,27,2,2,1,2024-04-22 23:00,1,0.011,1,0.041
1,60,0.002,0.3,27,2,2,1,2024-04-22 22:00,1,0.011,1,0.042
1,61,0.002,0.3,29,2,2,1,2024-04-22 21:00,1,0.010,1,0.043
1,61,0.003,0.3,33,2,2,1,2024-04-22 20:00,1,0.010,1,0.043
1,59,0.002,0.3,33,2,2,1,2024-04-22 19:00,1,0.012,1,0.041
1,52,0.002,0.3,34,2,2,1,2024-04-22 18:00,1,0.020,1,0.032
1,45,0.002,0.3,28,1,1,1,2024-04-22 17:00,1,0.023,1,0.027
1,52,0.002,0.3,26,2,2,1,2024-04-22 16:00,1,0.017,1,0.032
1,50,0.002,0.3,26,1,1,1,2024-04-22 15:00,1,0.019,1,0.030
1,54,0.002,0.3,26,2,2,1,2024-04-22 14:00,1,0.015,1,0.035
