so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.002,0.3,38,2,2,1,2024-04-23 11:00,1,0.006,1,0.053
1,65,0.002,0.3,36,2,2,1,2024-04-23 10:00,1,0.005,1,0.048
1,60,0.002,0.3,36,2,2,1,2024-04-23 09:00,1,0.005,1,0.042
1,57,0.003,0.4,31,2,2,1,2024-04-23 08:00,1,0.006,1,0.038
1,53,0.002,0.4,25,2,2,1,2024-04-23 07:00,1,0.006,1,0.034
1,55,0.002,0.3,18,2,2,1,2024-04-23 06:00,1,0.005,1,0.036
1,58,0.002,0.3,9,2,2,1,2024-04-23 05:00,1,0.004,1,0.039
1,54,0.002,0.2,12,2,2,1,2024-04-23 04:00,1,0.005,1,0.035
1,58,0.002,0.3,12,2,2,1,2024-04-23 03:00,1,0.004,1,0.040
1,59,0.002,0.3,14,2,2,1,2024-04-23 02:00,1,0.005,1,0.041
1,59,0.002,0.2,13,2,2,1,2024-04-23 01:00,1,0.005,1,0.041
1,-,0.002,0.2,22,2,,1,2024-04-22 24:00,1,0.006,1,0.038
1,-,0.002,0.2,21,2,,1,2024-04-22 23:00,1,0.007,1,0.038
1,-,0.002,0.2,12,2,,1,2024-04-22 22:00,1,0.007,1,0.033
1,-,0.002,0.3,13,2,,1,2024-04-22 21:00,1,0.006,1,0.040
1,-,0.002,0.2,11,2,,1,2024-04-22 20:00,1,0.006,1,0.045
1,-,0.002,0.2,7,2,,1,2024-04-22 19:00,1,0.006,1,0.046
1,-,0.002,0.2,10,2,,1,2024-04-22 18:00,1,0.007,1,0.043
1,-,0.002,0.2,11,2,,1,2024-04-22 17:00,1,0.008,1,0.038
1,-,0.002,0.2,22,2,,1,2024-04-22 16:00,1,0.007,1,0.038
1,-,0.002,0.2,23,2,,1,2024-04-22 15:00,1,0.007,1,0.035
1,-,0.002,0.3,12,2,,1,2024-04-22 14:00,1,0.010,1,0.038
1,-,0.002,0.3,17,2,,1,2024-04-22 13:00,1,0.006,1,0.037
