so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,64,0.002,0.2,33,2,2,1,2024-04-23 10:00,1,0.011,1,0.047
1,59,0.002,0.2,24,2,2,1,2024-04-23 09:00,1,0.016,1,0.041
1,58,0.002,0.2,23,2,2,1,2024-04-23 08:00,1,0.015,1,0.040
1,60,0.002,0.2,19,2,2,1,2024-04-23 07:00,1,0.013,1,0.042
1,60,0.002,0.2,16,2,2,1,2024-04-23 06:00,1,0.012,1,0.042
1,63,0.002,0.2,22,2,2,1,2024-04-23 05:00,1,0.006,1,0.046
1,63,0.002,0.2,19,2,2,1,2024-04-23 04:00,1,0.006,1,0.045
1,61,0.002,0.2,19,2,2,1,2024-04-23 03:00,1,0.007,2,0.043
1,64,0.002,0.2,22,2,2,1,2024-04-23 02:00,1,0.009,2,0.038
1,66,0.003,0.3,37,2,2,1,2024-04-23 01:00,1,0.016,2,0.037
1,64,0.003,0.3,43,2,2,1,2024-04-22 24:00,1,0.016,2,0.047
1,63,0.003,0.3,47,2,2,1,2024-04-22 23:00,1,0.020,2,0.045
1,57,0.003,0.3,43,2,2,1,2024-04-22 22:00,1,0.024,2,0.038
1,60,0.003,0.3,30,2,2,1,2024-04-22 21:00,1,0.018,1,0.042
1,68,0.002,0.3,29,2,2,1,2024-04-22 20:00,1,0.015,1,0.051
1,70,0.002,0.2,29,2,2,1,2024-04-22 19:00,1,0.014,2,0.054
1,74,0.002,0.2,29,2,2,1,2024-04-22 18:00,1,0.011,1,0.059
1,74,0.003,0.2,25,2,2,1,2024-04-22 17:00,1,0.010,2,0.059
1,76,0.003,0.2,38,2,2,1,2024-04-22 16:00,1,0.008,2,0.061
1,78,0.002,0.2,23,2,2,1,2024-04-22 15:00,1,0.007,1,0.063
1,75,0.002,0.2,36,2,2,1,2024-04-22 14:00,1,0.009,2,0.060
1,71,0.002,0.2,26,2,2,1,2024-04-22 13:00,1,0.009,2,0.055
1,65,0.002,0.2,30,2,2,1,2024-04-22 12:00,1,0.011,2,0.048
