so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,77,0.001,0.3,14,2,2,1,2024-04-23 12:00,1,0.004,1,0.062
1,78,0.001,0.3,11,2,2,1,2024-04-23 11:00,1,0.004,1,0.064
1,78,0.001,0.3,13,2,2,1,2024-04-23 10:00,1,0.003,1,0.064
1,78,0.001,0.3,10,2,2,1,2024-04-23 09:00,1,0.003,1,0.063
1,56,0.001,0.3,14,2,2,1,2024-04-23 08:00,1,0.007,1,0.037
1,33,0.001,0.3,14,1,1,1,2024-04-23 07:00,1,0.006,1,0.019
1,32,0.001,0.3,13,1,1,1,2024-04-23 06:00,1,0.004,1,0.019
1,33,0.001,0.3,16,1,1,1,2024-04-23 05:00,1,0.004,1,0.020
1,37,0.001,0.3,13,1,1,1,2024-04-23 04:00,1,0.004,1,0.022
1,45,0.001,0.3,17,1,1,1,2024-04-23 03:00,1,0.004,1,0.027
1,50,0.001,0.3,16,1,1,1,2024-04-23 02:00,1,0.004,1,0.030
1,55,0.001,0.3,21,2,2,1,2024-04-23 01:00,1,0.004,1,0.036
1,59,0.001,0.3,17,2,2,1,2024-04-22 24:00,1,0.004,1,0.041
1,63,0.001,0.3,14,2,2,1,2024-04-22 23:00,1,0.004,1,0.046
1,66,0.001,0.3,13,2,2,1,2024-04-22 22:00,1,0.003,1,0.049
1,72,0.001,0.3,15,2,2,1,2024-04-22 21:00,1,0.003,1,0.056
1,73,0.001,0.3,12,2,2,1,2024-04-22 20:00,1,0.003,1,0.057
1,73,0.001,0.3,14,2,2,1,2024-04-22 19:00,1,0.003,1,0.057
1,74,0.001,0.3,18,2,2,1,2024-04-22 18:00,1,0.003,1,0.059
1,75,0.001,0.3,17,2,2,1,2024-04-22 17:00,1,0.003,1,0.060
1,77,0.001,0.3,17,2,2,1,2024-04-22 16:00,1,0.003,1,0.062
1,75,0.001,0.3,19,2,2,1,2024-04-22 15:00,1,0.004,1,0.060
1,75,0.001,0.3,18,2,2,1,2024-04-22 14:00,1,0.004,1,0.060
