so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag
1,66,0.002,0.5,44,2,2,1,2024-04-23 12:00,1,0.003,2,0.049,
1,65,0.002,0.5,34,2,2,1,2024-04-23 11:00,1,0.004,2,0.048,
1,66,0.002,0.5,35,2,2,1,2024-04-23 10:00,1,0.005,2,0.049,
1,63,0.002,0.5,39,2,2,1,2024-04-23 09:00,1,0.008,2,0.046,
1,66,0.002,0.5,36,2,2,1,2024-04-23 08:00,1,0.008,2,0.049,
1,73,0.002,0.5,35,2,2,1,2024-04-23 07:00,1,0.005,2,0.057,
1,79,0.002,0.5,30,2,2,1,2024-04-23 06:00,1,0.003,2,0.065,
1,80,0.002,0.5,39,2,2,1,2024-04-23 05:00,1,0.003,2,0.066,
1,80,0.002,0.5,31,2,2,1,2024-04-23 04:00,1,0.003,2,0.066,
1,78,0.002,0.5,33,2,2,1,2024-04-23 03:00,1,0.003,2,0.063,
1,76,0.002,0.5,-,2,2,1,2024-04-23 02:00,1,0.003,2,0.061,통신장애
1,76,0.002,0.5,35,2,2,1,2024-04-23 01:00,1,0.003,2,0.061,
1,76,0.002,0.5,40,2,2,1,2024-04-22 24:00,1,0.003,2,0.061,
1,76,0.002,0.5,35,2,2,1,2024-04-22 23:00,1,0.003,2,0.061,
1,75,0.002,0.5,37,2,2,1,2024-04-22 22:00,1,0.003,2,0.060,
1,73,0.002,0.5,32,2,2,1,2024-04-22 21:00,1,0.003,2,0.058,
1,72,0.002,0.5,33,2,2,1,2024-04-22 20:00,1,0.003,2,0.056,
1,69,0.002,0.5,32,2,2,1,2024-04-22 19:00,1,0.003,2,0.053,
1,69,0.002,0.5,33,2,2,1,2024-04-22 18:00,1,0.003,2,0.053,
1,68,0.002,0.5,29,2,2,1,2024-04-22 17:00,1,0.003,2,0.051,
1,66,0.002,0.5,37,2,2,1,2024-04-22 16:00,1,0.004,2,0.049,
1,66,0.002,0.5,30,2,2,1,2024-04-22 15:00,1,0.004,2,0.049,
1,64,0.002,0.5,33,2,2,1,2024-04-22 14:00,1,0.004,2,0.047,
