so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.001,0.3,16,2,2,1,2024-04-23 11:00,1,0.002,1,0.048
1,67,0.001,0.3,15,2,2,1,2024-04-23 10:00,1,0.003,1,0.050
1,70,0.001,0.4,16,2,2,1,2024-04-23 09:00,1,0.004,1,0.054
1,73,0.001,0.3,16,2,2,1,2024-04-23 08:00,1,0.003,1,0.057
1,63,0.001,0.4,15,2,2,1,2024-04-23 07:00,1,0.004,1,0.045
1,30,0.001,0.3,17,1,1,1,2024-04-23 06:00,1,0.002,1,0.018
1,28,0.001,0.3,15,1,1,1,2024-04-23 05:00,1,0.002,1,0.017
1,28,0.001,0.3,17,1,1,1,2024-04-23 04:00,1,0.002,1,0.017
1,30,0.001,0.3,16,1,1,1,2024-04-23 03:00,1,0.002,1,0.018
1,40,0.001,0.3,16,1,1,1,2024-04-23 02:00,1,0.002,1,0.024
1,38,0.001,0.3,17,1,1,1,2024-04-23 01:00,1,0.002,1,0.023
1,38,0.001,0.3,15,1,1,1,2024-04-22 24:00,1,0.002,1,0.023
1,42,0.001,0.4,11,1,1,1,2024-04-22 23:00,1,0.002,1,0.025
1,42,0.001,0.4,14,1,1,1,2024-04-22 22:00,1,0.002,1,0.025
1,48,0.001,0.4,18,1,1,1,2024-04-22 21:00,1,0.003,1,0.029
1,59,0.001,0.4,20,2,2,1,2024-04-22 20:00,1,0.004,1,0.041
1,68,0.001,0.4,19,2,2,1,2024-04-22 19:00,1,0.004,1,0.051
1,68,0.001,0.4,16,2,2,1,2024-04-22 18:00,1,0.004,1,0.052
1,68,0.001,0.4,14,2,2,1,2024-04-22 17:00,1,0.003,1,0.051
1,68,0.001,0.3,10,2,2,1,2024-04-22 16:00,1,0.003,1,0.051
1,67,0.001,0.3,13,2,2,1,2024-04-22 15:00,1,0.003,1,0.050
1,64,0.001,0.4,20,2,2,1,2024-04-22 14:00,1,0.003,1,0.047
