so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,73,0.002,0.3,18,2,2,1,2024-04-23 11:00,1,0.012,1,0.058,,,,,
1,69,0.002,0.3,19,2,2,1,2024-04-23 10:00,1,0.014,1,0.053,,,,,
1,69,0.002,0.3,20,2,2,1,2024-04-23 09:00,1,0.013,1,0.053,,,,,
1,70,0.002,0.3,18,2,2,1,2024-04-23 08:00,1,0.013,1,0.054,,,,,
1,68,0.002,0.3,16,2,2,1,2024-04-23 07:00,1,0.015,1,0.052,,,,,
1,72,0.002,0.3,18,2,2,1,2024-04-23 06:00,1,0.011,1,0.056,,,,,
1,71,0.002,0.3,19,2,2,1,2024-04-23 05:00,1,0.010,1,0.055,,,,,
1,72,0.002,0.3,20,2,2,1,2024-04-23 04:00,1,0.008,1,0.056,,,,,
1,69,0.002,0.3,21,2,2,1,2024-04-23 03:00,1,0.009,1,0.053,,,,,
1,67,0.002,0.3,22,2,2,1,2024-04-23 02:00,1,0.011,1,0.050,,,,,
1,68,0.002,0.3,29,2,2,1,2024-04-23 01:00,1,0.010,1,0.051,,,,,
1,66,0.002,0.3,28,2,2,1,2024-04-22 24:00,1,0.013,2,0.049,,,,,
1,67,0.002,0.3,29,2,2,1,2024-04-22 23:00,1,0.013,2,0.050,,,,,
1,67,0.002,0.3,36,2,2,1,2024-04-22 22:00,1,0.016,2,0.050,,,,,
1,68,0.003,0.5,42,2,2,2,2024-04-22 21:00,1,0.041,2,0.046,,,,,
1,71,0.002,0.4,29,2,2,1,2024-04-22 20:00,1,0.024,1,0.055,,,,,
1,77,0.002,0.3,28,2,2,1,2024-04-22 19:00,1,0.016,1,0.062,,,,,
1,80,0.003,0.3,27,2,2,1,2024-04-22 18:00,1,0.013,1,0.066,,,,,
1,-,0.002,0.3,25,2,,1,2024-04-22 17:00,1,0.013,,0.067,,,,,
1,-,0.002,0.3,27,2,,1,2024-04-22 16:00,1,0.012,,0.068,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,76,0.003,0.3,26,2,2,1,2024-04-22 13:00,1,0.012,2,0.061,,,,,
