so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,47,0.002,0.2,22,1,1,1,2024-04-23 11:00,1,0.005,1,0.028
1,45,0.002,0.2,18,1,1,1,2024-04-23 10:00,1,0.005,1,0.027
1,43,0.002,0.2,20,1,1,1,2024-04-23 09:00,1,0.006,1,0.022
1,43,0.002,0.2,16,1,1,1,2024-04-23 08:00,1,0.009,1,0.020
1,43,0.002,0.2,16,1,1,1,2024-04-23 07:00,1,0.009,1,0.025
1,47,0.002,0.2,21,1,1,1,2024-04-23 06:00,1,0.006,1,0.028
1,38,0.002,0.2,18,1,1,1,2024-04-23 05:00,1,0.006,1,0.023
1,37,0.002,0.2,20,1,1,1,2024-04-23 04:00,1,0.006,1,0.021
1,37,0.002,0.2,23,1,1,1,2024-04-23 03:00,1,0.005,1,0.020
1,37,0.002,0.2,21,1,1,1,2024-04-23 02:00,1,0.005,1,0.018
1,40,0.002,0.2,20,1,1,1,2024-04-23 01:00,1,0.005,1,0.021
1,48,0.002,0.2,23,1,1,1,2024-04-22 24:00,1,0.007,1,0.029
1,42,0.002,0.2,25,1,1,1,2024-04-22 23:00,1,0.006,1,0.018
1,42,0.002,0.2,30,1,1,1,2024-04-22 22:00,1,0.006,1,0.018
1,40,0.002,0.2,25,1,1,1,2024-04-22 21:00,1,0.006,1,0.016
1,38,0.002,0.2,24,1,1,1,2024-04-22 20:00,1,0.006,1,0.016
1,40,0.002,0.2,20,1,1,1,2024-04-22 19:00,1,0.006,1,0.019
1,40,0.002,0.2,18,1,1,1,2024-04-22 18:00,1,0.006,1,0.019
1,43,0.002,0.2,19,1,1,1,2024-04-22 17:00,1,0.006,1,0.017
1,47,0.002,0.2,20,1,1,1,2024-04-22 16:00,1,0.006,1,0.018
1,51,0.002,0.2,25,1,2,1,2024-04-22 15:00,1,0.006,1,0.026
1,54,0.002,0.2,26,1,2,1,2024-04-22 14:00,1,0.005,2,0.022
1,56,0.002,0.2,29,1,2,1,2024-04-22 13:00,1,0.005,2,0.020
