so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.4,21,2,2,1,2024-04-23 10:00,1,0.005,1,0.058
1,58,0.001,0.4,25,2,2,1,2024-04-23 09:00,1,0.011,1,0.039
1,38,0.001,0.4,24,1,1,1,2024-04-23 08:00,1,0.010,1,0.023
1,35,0.001,0.3,19,1,1,1,2024-04-23 07:00,1,0.010,1,0.016
1,35,0.001,0.3,24,1,1,1,2024-04-23 06:00,1,0.014,1,0.009
1,35,0.001,0.3,21,1,1,1,2024-04-23 05:00,1,0.010,1,0.014
1,35,0.001,0.3,22,1,1,1,2024-04-23 04:00,1,0.011,1,0.015
1,37,0.001,0.3,19,1,1,1,2024-04-23 03:00,1,0.008,1,0.021
1,43,0.001,0.3,16,1,1,1,2024-04-23 02:00,1,0.005,1,0.026
1,51,0.001,0.3,23,2,2,1,2024-04-23 01:00,1,0.005,1,0.031
1,62,0.001,0.3,25,2,2,1,2024-04-22 24:00,1,0.005,1,0.044
1,65,0.001,0.3,16,2,2,1,2024-04-22 23:00,1,0.004,1,0.048
1,64,0.001,0.4,14,2,2,1,2024-04-22 22:00,1,0.004,1,0.047
1,64,0.001,0.4,20,2,2,1,2024-04-22 21:00,1,0.004,1,0.047
1,64,0.001,0.3,19,2,2,1,2024-04-22 20:00,1,0.005,1,0.047
1,66,0.001,0.4,31,2,2,1,2024-04-22 19:00,1,0.005,1,0.049
1,73,0.001,0.3,33,2,2,1,2024-04-22 18:00,1,0.006,1,0.057
1,79,0.001,0.3,28,2,2,1,2024-04-22 17:00,1,0.006,1,0.065
1,78,0.001,0.3,27,2,2,1,2024-04-22 16:00,1,0.006,1,0.064
1,78,0.001,0.3,26,2,2,1,2024-04-22 15:00,1,0.005,1,0.063
1,77,0.001,0.3,25,2,2,1,2024-04-22 14:00,1,0.005,1,0.062
1,75,0.001,0.3,27,2,2,1,2024-04-22 13:00,1,0.005,1,0.060
1,73,0.001,0.3,26,2,2,1,2024-04-22 12:00,1,0.007,1,0.058
