coFlag,khaiValue,so2Value,coValue,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,23,통신장애,통신장애,통신장애,2024-04-23 12:00,-,1,-,,,,,
,66,0.001,0.2,24,,,,2024-04-23 11:00,0.012,1,0.049,1,2,2,1,1
,60,0.001,0.3,24,,,,2024-04-23 10:00,0.016,1,0.042,1,2,2,1,1
,57,0.001,0.2,24,,,,2024-04-23 09:00,0.021,1,0.038,1,2,2,1,1
,59,0.001,0.2,20,,,,2024-04-23 08:00,0.013,1,0.041,1,2,2,1,1
,56,0.001,0.2,18,,,,2024-04-23 07:00,0.019,1,0.033,1,2,2,1,1
,56,0.001,0.3,27,,,,2024-04-23 06:00,0.021,2,0.030,1,1,2,1,1
,66,0.001,0.3,44,,,,2024-04-23 05:00,0.011,2,0.049,1,2,2,1,1
,56,0.001,0.2,16,,,,2024-04-23 04:00,0.012,2,0.035,1,2,2,1,1
,64,0.001,0.3,19,,,,2024-04-23 03:00,0.015,2,0.034,1,2,2,1,1
,72,0.001,0.3,22,,,,2024-04-23 02:00,0.009,2,0.039,1,2,2,1,1
,74,0.001,0.3,45,,,,2024-04-23 01:00,0.014,2,0.049,1,2,2,1,1
,80,0.001,0.3,48,,,,2024-04-22 24:00,0.007,2,0.066,1,2,2,1,1
,87,0.001,0.3,46,,,,2024-04-22 23:00,0.007,2,0.074,1,2,2,1,1
,95,0.001,0.3,44,,,,2024-04-22 22:00,0.007,2,0.084,1,2,2,1,1
,94,0.001,0.3,39,,,,2024-04-22 21:00,0.007,2,0.083,1,2,2,1,1
,93,0.001,0.3,45,,,,2024-04-22 20:00,0.010,2,0.082,1,2,2,1,1
,94,0.001,0.3,48,,,,2024-04-22 19:00,0.010,2,0.083,1,2,2,1,1
,93,0.001,0.3,43,,,,2024-04-22 18:00,0.013,2,0.081,1,2,2,1,1
,98,0.001,0.3,43,,,,2024-04-22 17:00,0.011,2,0.087,1,2,2,1,1
,91,0.001,0.3,44,,,,2024-04-22 16:00,0.012,2,0.079,1,2,2,1,1
,89,0.001,0.2,39,,,,2024-04-22 15:00,0.008,2,0.077,1,2,2,1,1
통신장애,-,-,-,41,통신장애,통신장애,통신장애,2024-04-22 14:00,-,2,-,,,,,
