so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,78,0.003,0.3,31,2,2,1,2024-04-23 12:00,1,0.007,1,0.063
1,78,0.002,0.2,37,2,2,1,2024-04-23 11:00,1,0.006,1,0.063
1,77,0.002,0.3,27,2,2,1,2024-04-23 10:00,1,0.006,1,0.062
1,59,0.002,0.3,27,2,2,1,2024-04-23 09:00,1,0.012,1,0.041
1,47,0.002,0.3,24,1,1,1,2024-04-23 08:00,1,0.019,1,0.012
1,47,0.002,0.3,27,1,1,1,2024-04-23 07:00,1,0.020,1,0.005
1,43,0.002,0.3,22,1,1,1,2024-04-23 06:00,1,0.020,1,0.006
1,43,0.002,0.3,25,1,1,1,2024-04-23 05:00,1,0.021,1,0.004
1,45,0.002,0.3,25,1,1,1,2024-04-23 04:00,1,0.021,1,0.004
1,47,0.002,0.3,24,1,1,1,2024-04-23 03:00,1,0.010,1,0.012
1,50,0.002,0.3,25,1,1,1,2024-04-23 02:00,1,0.016,1,0.007
1,50,0.002,0.4,30,1,1,1,2024-04-23 01:00,1,0.015,1,0.010
1,50,0.002,0.4,30,1,1,1,2024-04-22 24:00,1,0.018,1,0.014
1,48,0.002,0.3,28,1,1,1,2024-04-22 23:00,1,0.013,1,0.027
1,58,0.002,0.3,29,2,2,1,2024-04-22 22:00,1,0.008,1,0.039
1,58,0.002,0.3,28,2,2,1,2024-04-22 21:00,1,0.008,1,0.039
1,58,0.002,0.3,32,2,2,1,2024-04-22 20:00,1,0.009,1,0.039
1,59,0.002,0.3,27,2,2,1,2024-04-22 19:00,1,0.009,1,0.041
1,62,0.002,0.3,28,2,2,1,2024-04-22 18:00,1,0.008,1,0.044
1,63,0.002,0.3,21,2,2,1,2024-04-22 17:00,1,0.007,1,0.045
1,63,0.002,0.3,24,2,2,1,2024-04-22 16:00,1,0.006,1,0.045
1,-,0.002,0.3,29,2,,1,2024-04-22 15:00,1,0.007,,0.045
1,-,0.004,0.4,32,2,,1,2024-04-22 14:00,1,0.014,,0.037
