so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,68,0.002,0.4,36,2,2,1,2024-04-23 12:00,1,0.004,2,0.051,,,,,
1,68,0.002,0.4,41,2,2,1,2024-04-23 11:00,1,0.005,1,0.051,,,,,
1,68,0.002,0.4,40,2,2,1,2024-04-23 10:00,1,0.009,1,0.051,,,,,
1,63,0.002,0.4,31,2,2,1,2024-04-23 09:00,1,0.013,1,0.046,,,,,
1,66,0.002,0.4,22,2,2,1,2024-04-23 08:00,1,0.011,1,0.049,,,,,
1,72,0.002,0.4,26,2,2,1,2024-04-23 07:00,1,0.007,1,0.056,,,,,
1,74,0.002,0.4,24,2,2,1,2024-04-23 06:00,1,0.003,1,0.059,,,,,
1,75,0.002,0.4,22,2,2,1,2024-04-23 05:00,1,0.001,1,0.060,,,,,
1,73,0.002,0.4,17,2,2,1,2024-04-23 04:00,1,0.001,1,0.058,,,,,
1,73,0.002,0.4,20,2,2,1,2024-04-23 03:00,1,0.001,1,0.057,,,,,
1,72,0.002,0.4,16,2,2,1,2024-04-23 02:00,1,0.000,1,0.056,,,,,
1,73,0.002,0.4,18,2,2,1,2024-04-23 01:00,1,0.000,1,0.057,,,,,
1,71,0.002,0.4,23,2,2,1,2024-04-22 24:00,1,0.000,1,0.055,,,,,
1,-,0.002,0.4,22,2,,1,2024-04-22 23:00,1,0.001,,0.055,,,,,
1,-,0.002,0.4,24,2,,1,2024-04-22 22:00,1,0.002,,0.054,,,,,
1,-,0.002,0.4,24,2,,1,2024-04-22 21:00,1,0.001,,0.053,,,,,
1,-,0.002,0.4,29,2,,1,2024-04-22 20:00,1,0.002,,0.051,,,,,
1,-,0.002,0.4,33,2,,1,2024-04-22 19:00,1,0.003,,0.049,,,,,
1,-,0.002,0.4,38,2,,1,2024-04-22 18:00,1,0.002,,0.049,,,,,
1,-,0.002,0.4,42,2,,1,2024-04-22 17:00,1,0.007,,0.044,,,,,
1,-,0.002,0.4,50,2,,1,2024-04-22 16:00,1,0.008,,0.042,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
