so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.002,0.4,20,2,2,1,2024-04-23 11:00,1,0.010,1,0.057
1,69,0.002,0.4,22,2,2,1,2024-04-23 10:00,1,0.012,1,0.053
1,66,0.002,0.4,18,2,2,1,2024-04-23 09:00,1,0.016,1,0.049
1,68,0.002,0.3,18,2,2,1,2024-04-23 08:00,1,0.013,1,0.052
1,68,0.003,0.3,19,2,2,1,2024-04-23 07:00,1,0.014,1,0.051
1,68,0.003,0.3,19,2,2,1,2024-04-23 06:00,1,0.010,1,0.052
1,67,0.002,0.4,19,2,2,1,2024-04-23 05:00,1,0.009,1,0.050
1,65,0.002,0.3,19,2,2,1,2024-04-23 04:00,1,0.009,1,0.048
1,64,0.002,0.3,21,2,2,1,2024-04-23 03:00,1,0.009,1,0.047
1,62,0.003,0.4,26,2,2,1,2024-04-23 02:00,1,0.011,1,0.044
1,61,0.003,0.4,35,2,2,1,2024-04-23 01:00,1,0.020,2,0.043
1,61,0.002,0.4,27,2,2,1,2024-04-22 24:00,1,0.016,2,0.043
1,68,0.003,0.4,29,2,2,1,2024-04-22 23:00,1,0.014,2,0.052
1,81,0.003,0.4,30,2,2,1,2024-04-22 22:00,1,0.010,2,0.067
1,91,0.003,0.4,35,2,2,1,2024-04-22 21:00,1,0.011,2,0.079
1,87,0.003,0.4,39,2,2,1,2024-04-22 20:00,1,0.020,2,0.074
1,79,0.003,0.4,36,2,2,1,2024-04-22 19:00,1,0.028,2,0.065
1,81,0.003,0.3,29,2,2,1,2024-04-22 18:00,1,0.013,2,0.067
1,83,0.003,0.3,30,2,2,1,2024-04-22 17:00,1,0.012,2,0.070
1,83,0.003,0.3,34,2,2,1,2024-04-22 16:00,1,0.012,2,0.069
1,81,0.003,0.4,30,2,2,1,2024-04-22 15:00,1,0.012,2,0.067
1,78,0.002,0.3,31,2,2,1,2024-04-22 14:00,1,0.011,2,0.064
