so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.003,0.3,35,2,2,1,2024-04-23 12:00,1,0.005,1,0.057
1,68,0.003,0.3,29,2,2,1,2024-04-23 11:00,1,0.004,1,0.051
1,53,0.003,0.3,24,2,2,1,2024-04-23 10:00,1,0.005,1,0.034
1,42,0.003,0.3,19,1,1,1,2024-04-23 09:00,1,0.008,1,0.025
1,38,0.003,0.3,23,1,1,1,2024-04-23 08:00,1,0.008,1,0.016
1,38,0.003,0.3,22,1,1,1,2024-04-23 07:00,1,0.008,1,0.012
1,40,0.003,0.3,26,1,1,1,2024-04-23 06:00,1,0.006,1,0.016
1,37,0.003,0.3,26,1,1,1,2024-04-23 05:00,1,0.006,1,0.019
1,35,0.003,0.3,27,1,1,1,2024-04-23 04:00,1,0.006,1,0.021
1,38,0.003,0.3,30,1,1,1,2024-04-23 03:00,1,0.005,1,0.023
1,47,0.003,0.3,20,1,1,1,2024-04-23 02:00,1,0.005,1,0.028
1,40,0.003,0.3,15,1,1,1,2024-04-23 01:00,1,0.006,1,0.024
1,53,0.003,0.3,12,2,2,1,2024-04-22 24:00,1,0.004,1,0.033
1,58,0.003,0.3,16,2,2,1,2024-04-22 23:00,1,0.003,1,0.039
1,53,0.003,0.3,17,2,2,1,2024-04-22 22:00,1,0.004,1,0.034
1,56,0.003,0.3,16,2,2,1,2024-04-22 21:00,1,0.004,1,0.037
1,59,0.003,0.3,17,2,2,1,2024-04-22 20:00,1,0.005,1,0.041
1,58,0.003,0.3,18,2,2,1,2024-04-22 19:00,1,0.006,1,0.040
1,61,0.003,0.3,14,2,2,1,2024-04-22 18:00,1,0.005,1,0.043
1,60,0.003,0.3,10,2,2,1,2024-04-22 17:00,1,0.004,1,0.042
1,59,0.003,0.3,11,2,2,1,2024-04-22 16:00,1,0.004,1,0.041
1,56,0.003,0.3,9,2,2,1,2024-04-22 15:00,1,0.005,1,0.037
1,58,0.003,0.3,11,2,2,1,2024-04-22 14:00,1,0.004,1,0.039
