so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,75,0.002,0.3,23,2,2,1,2024-04-23 11:00,1,0.007,1,0.060
1,77,0.002,0.3,19,2,2,1,2024-04-23 10:00,1,0.006,1,0.062
1,76,0.002,0.3,22,2,2,1,2024-04-23 09:00,1,0.006,1,0.061
1,73,0.002,0.3,19,2,2,1,2024-04-23 08:00,1,0.007,1,0.058
1,70,0.002,0.3,21,2,2,1,2024-04-23 07:00,1,0.007,1,0.054
1,68,0.002,0.3,18,2,2,1,2024-04-23 06:00,1,0.005,1,0.052
1,69,0.002,0.3,18,2,2,1,2024-04-23 05:00,1,0.006,1,0.053
1,73,0.002,0.3,18,2,2,1,2024-04-23 04:00,1,0.005,1,0.058
1,70,0.002,0.3,19,2,2,1,2024-04-23 03:00,1,0.006,1,0.054
1,66,0.002,0.3,23,2,2,1,2024-04-23 02:00,1,0.008,1,0.049
1,67,0.002,0.3,24,2,2,1,2024-04-23 01:00,1,0.006,1,0.050
1,56,0.002,0.3,24,2,2,1,2024-04-22 24:00,1,0.010,1,0.037
1,56,0.002,0.3,27,1,2,1,2024-04-22 23:00,1,0.014,1,0.019
1,54,0.002,0.4,31,1,2,1,2024-04-22 22:00,1,0.017,2,0.020
1,56,0.002,0.3,33,1,2,1,2024-04-22 21:00,1,0.012,2,0.030
1,63,0.002,0.3,30,2,2,1,2024-04-22 20:00,1,0.008,2,0.045
1,68,0.002,0.3,30,2,2,1,2024-04-22 19:00,1,0.007,2,0.051
1,68,0.002,0.3,32,2,2,1,2024-04-22 18:00,1,0.008,1,0.051
1,67,0.002,0.3,30,2,2,1,2024-04-22 17:00,1,0.006,1,0.050
1,69,0.002,0.3,27,2,2,1,2024-04-22 16:00,1,0.006,1,0.053
1,69,0.002,0.3,24,2,2,1,2024-04-22 15:00,1,0.006,2,0.053
1,70,0.002,0.3,24,2,2,1,2024-04-22 14:00,1,0.006,2,0.054
1,69,0.002,0.3,32,2,2,1,2024-04-22 13:00,1,0.006,2,0.053
