so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,71,0.003,0.5,40,2,2,1,2024-04-23 11:00,1,0.002,2,0.055
1,68,0.003,0.4,38,2,2,1,2024-04-23 10:00,1,0.002,2,0.051
1,64,0.003,0.4,37,2,2,1,2024-04-23 09:00,1,0.003,2,0.047
1,59,0.004,0.6,39,2,2,1,2024-04-23 08:00,1,0.006,2,0.039
1,60,0.004,0.8,43,1,2,1,2024-04-23 07:00,1,0.010,2,0.028
1,59,0.004,0.7,39,1,2,1,2024-04-23 06:00,1,0.008,2,0.024
1,59,0.004,0.6,37,1,2,1,2024-04-23 05:00,1,0.005,2,0.025
1,59,0.003,0.6,41,1,2,1,2024-04-23 04:00,1,0.004,2,0.027
1,59,0.003,0.6,38,2,2,1,2024-04-23 03:00,1,0.004,2,0.032
1,59,0.003,0.5,35,2,2,1,2024-04-23 02:00,1,0.003,2,0.035
1,59,0.003,0.5,39,2,2,1,2024-04-23 01:00,1,0.003,2,0.032
1,59,0.003,0.4,38,2,2,1,2024-04-22 24:00,1,0.002,2,0.034
1,59,0.003,0.4,40,2,2,1,2024-04-22 23:00,1,0.003,2,0.035
1,59,0.003,0.5,38,2,2,1,2024-04-22 22:00,1,0.004,2,0.035
1,59,0.003,0.6,46,2,2,1,2024-04-22 21:00,1,0.005,2,0.032
1,58,0.003,0.6,45,2,2,1,2024-04-22 20:00,1,0.005,2,0.039
1,57,0.003,0.6,39,2,2,1,2024-04-22 19:00,1,0.005,2,0.037
1,60,0.003,0.6,40,2,2,1,2024-04-22 18:00,1,0.006,2,0.042
1,63,0.003,0.6,35,2,2,1,2024-04-22 17:00,1,0.005,2,0.045
1,68,0.003,0.6,46,2,2,1,2024-04-22 16:00,1,0.005,2,0.051
1,63,0.003,0.5,31,2,2,1,2024-04-22 15:00,1,0.004,1,0.046
1,63,0.003,0.4,24,2,2,1,2024-04-22 14:00,1,0.001,1,0.045
1,64,0.003,0.4,24,2,2,1,2024-04-22 13:00,1,0.001,1,0.047
