so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,62,0.002,0.3,26,2,2,1,2024-04-23 10:00,1,0.014,1,0.044
1,59,0.003,0.3,24,2,2,1,2024-04-23 09:00,1,0.016,1,0.041
1,56,0.002,0.4,26,2,2,1,2024-04-23 08:00,1,0.019,2,0.034
1,64,0.003,0.4,23,2,2,1,2024-04-23 07:00,1,0.017,2,0.036
1,66,0.003,0.3,26,2,2,1,2024-04-23 06:00,1,0.017,2,0.034
1,69,0.002,0.3,28,1,2,1,2024-04-23 05:00,1,0.017,2,0.030
1,74,0.003,0.4,36,1,2,1,2024-04-23 04:00,1,0.015,2,0.029
1,74,0.003,0.4,49,2,2,1,2024-04-23 03:00,1,0.018,2,0.035
1,74,0.003,0.4,49,2,2,1,2024-04-23 02:00,1,0.019,2,0.045
1,72,0.003,0.4,44,2,2,1,2024-04-23 01:00,1,0.014,2,0.053
1,71,0.002,0.3,40,2,2,1,2024-04-22 24:00,1,0.012,2,0.055
1,69,0.003,0.4,42,2,2,1,2024-04-22 23:00,1,0.021,2,0.047
1,80,0.003,0.3,40,2,2,1,2024-04-22 22:00,1,0.008,2,0.066
1,85,0.003,0.3,36,2,2,1,2024-04-22 21:00,1,0.007,2,0.072
1,88,0.002,0.3,40,2,2,1,2024-04-22 20:00,1,0.009,2,0.075
1,84,0.003,0.4,41,2,2,1,2024-04-22 19:00,1,0.011,2,0.071
1,80,0.003,0.3,42,2,2,1,2024-04-22 18:00,1,0.012,2,0.066
1,80,0.003,0.4,43,2,2,1,2024-04-22 17:00,1,0.011,2,0.066
1,79,0.003,0.3,39,2,2,1,2024-04-22 16:00,1,0.011,2,0.065
1,77,0.003,0.3,41,2,2,1,2024-04-22 15:00,1,0.011,2,0.062
1,72,0.003,0.3,38,2,2,1,2024-04-22 14:00,1,0.012,2,0.056
1,68,0.002,0.4,42,2,2,1,2024-04-22 13:00,1,0.013,2,0.051
