so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag
1,78,0.002,0.3,19,2,2,1,2024-04-23 11:00,1,0.007,1,0.063,
1,76,0.002,0.3,22,2,2,1,2024-04-23 10:00,1,0.007,1,0.061,
1,73,0.002,0.3,26,2,2,1,2024-04-23 09:00,1,0.009,1,0.057,
1,68,0.002,0.4,28,2,2,1,2024-04-23 08:00,1,0.014,1,0.051,
1,58,0.002,0.5,24,2,2,1,2024-04-23 07:00,1,0.022,1,0.040,
1,55,0.001,0.6,-,2,2,1,2024-04-23 06:00,1,0.023,1,0.036,통신장애
1,59,0.001,0.5,20,2,2,1,2024-04-23 05:00,1,0.020,1,0.041,
1,62,0.001,0.5,20,2,2,1,2024-04-23 04:00,1,0.018,1,0.044,
1,66,0.002,0.4,17,2,2,1,2024-04-23 03:00,1,0.014,1,0.049,
1,69,0.002,0.3,25,2,2,1,2024-04-23 02:00,1,0.011,1,0.053,
1,66,0.002,0.3,24,2,2,1,2024-04-23 01:00,1,0.013,1,0.049,
1,66,0.002,0.3,21,2,2,1,2024-04-22 24:00,1,0.013,1,0.049,
1,66,0.002,0.3,16,2,2,1,2024-04-22 23:00,1,0.012,1,0.049,
1,64,0.002,0.3,29,2,2,1,2024-04-22 22:00,1,0.014,2,0.047,
1,61,0.002,0.3,34,2,2,1,2024-04-22 21:00,1,0.018,2,0.043,
1,58,0.002,0.3,30,2,2,1,2024-04-22 20:00,1,0.023,1,0.040,
1,65,0.002,0.3,34,2,2,1,2024-04-22 19:00,1,0.017,1,0.048,
1,73,0.002,0.3,26,2,2,1,2024-04-22 18:00,1,0.011,1,0.057,
1,77,0.002,0.3,27,2,2,1,2024-04-22 17:00,1,0.009,1,0.062,
1,78,0.002,0.3,28,2,2,1,2024-04-22 16:00,1,0.008,1,0.064,
1,75,0.002,0.3,29,2,2,1,2024-04-22 15:00,1,0.009,2,0.060,
1,72,0.002,0.3,32,2,2,1,2024-04-22 14:00,1,0.010,2,0.056,
1,68,0.002,0.4,25,2,2,1,2024-04-22 13:00,1,0.011,2,0.052,
