so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.003,0.3,22,2,2,1,2024-04-23 11:00,1,0.010,1,0.049
1,64,0.003,0.3,25,2,2,1,2024-04-23 10:00,1,0.010,1,0.047
1,64,0.003,0.3,21,2,2,1,2024-04-23 09:00,1,0.010,1,0.047
1,64,0.003,0.3,22,2,2,1,2024-04-23 08:00,1,0.009,1,0.047
1,63,0.003,0.3,16,2,2,1,2024-04-23 07:00,1,0.008,2,0.045
1,69,0.003,0.3,21,2,2,1,2024-04-23 06:00,1,0.008,2,0.043
1,72,0.003,0.3,27,2,2,1,2024-04-23 05:00,1,0.009,2,0.037
1,72,0.003,0.3,35,2,2,1,2024-04-23 04:00,1,0.011,2,0.032
1,72,0.003,0.3,36,2,2,1,2024-04-23 03:00,1,0.010,2,0.033
1,69,0.003,0.3,41,2,2,1,2024-04-23 02:00,1,0.012,2,0.044
1,69,0.003,0.3,47,2,2,1,2024-04-23 01:00,1,0.015,2,0.040
1,66,0.003,0.3,40,2,2,1,2024-04-22 24:00,1,0.018,2,0.040
1,69,0.003,0.3,43,2,2,1,2024-04-22 23:00,1,0.010,2,0.053
1,78,0.003,0.3,44,2,2,1,2024-04-22 22:00,1,0.010,2,0.064
1,73,0.003,0.3,46,2,2,1,2024-04-22 21:00,1,0.009,2,0.058
1,65,0.003,0.3,39,2,2,1,2024-04-22 20:00,1,0.009,2,0.048
1,60,0.003,0.3,42,2,2,1,2024-04-22 19:00,1,0.010,2,0.039
1,59,0.003,0.3,39,2,2,1,2024-04-22 18:00,1,0.009,2,0.035
1,59,0.003,0.4,43,2,2,1,2024-04-22 17:00,1,0.010,2,0.039
1,59,0.003,0.3,39,2,2,1,2024-04-22 16:00,1,0.010,2,0.036
1,59,0.003,0.3,38,2,2,1,2024-04-22 15:00,1,0.008,2,0.034
1,57,0.003,0.3,40,2,2,1,2024-04-22 14:00,1,0.008,2,0.032
