so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,-,0.004,0.3,24,2,1,2024-04-23 12:00,1,0.004,1,0.057
1,-,0.003,0.3,22,2,1,2024-04-23 11:00,1,0.005,1,0.052
1,-,0.003,0.3,27,2,1,2024-04-23 10:00,1,0.003,1,0.052
1,-,0.003,0.3,26,2,1,2024-04-23 09:00,1,0.004,1,0.049
1,-,0.003,0.3,25,1,1,2024-04-23 08:00,1,0.012,1,0.029
1,-,0.003,0.3,20,1,1,2024-04-23 07:00,1,0.017,1,0.015
1,-,0.003,0.3,20,1,1,2024-04-23 06:00,1,0.008,1,0.024
1,-,0.003,0.3,17,1,1,2024-04-23 05:00,1,0.010,1,0.024
1,-,0.003,0.3,18,2,1,2024-04-23 04:00,1,0.004,1,0.032
1,-,0.003,0.3,20,2,1,2024-04-23 03:00,1,0.004,1,0.036
1,-,0.003,0.3,24,2,1,2024-04-23 02:00,1,0.003,2,0.040
1,-,0.003,0.3,26,2,1,2024-04-23 01:00,1,0.003,2,0.038
1,-,0.003,0.3,28,1,1,2024-04-22 24:00,1,0.005,2,0.030
1,-,0.003,0.3,37,1,1,2024-04-22 23:00,1,0.008,2,0.023
1,-,0.003,0.3,42,1,1,2024-04-22 22:00,1,0.008,2,0.024
1,-,0.003,0.3,44,2,1,2024-04-22 21:00,1,0.007,2,0.031
1,-,0.003,0.3,37,2,1,2024-04-22 20:00,1,0.006,2,0.042
1,-,0.003,0.3,41,2,1,2024-04-22 19:00,1,0.006,2,0.047
1,-,0.003,0.3,25,2,1,2024-04-22 18:00,1,0.005,1,0.049
1,-,0.003,0.3,28,2,1,2024-04-22 17:00,1,0.004,2,0.056
1,-,0.003,0.3,31,2,1,2024-04-22 16:00,1,0.004,1,0.055
1,-,0.003,0.3,26,2,1,2024-04-22 15:00,1,0.004,1,0.055
1,-,0.003,0.3,35,2,1,2024-04-22 14:00,1,0.003,2,0.054
