so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,81,0.002,0.2,26,2,2,1,2024-04-23 12:00,1,0.003,1,0.067
1,83,0.002,0.2,25,2,2,1,2024-04-23 11:00,1,0.003,1,0.070
1,76,0.002,0.2,21,2,2,1,2024-04-23 10:00,1,0.005,1,0.061
1,66,0.002,0.2,25,2,2,1,2024-04-23 09:00,1,0.007,1,0.049
1,43,0.002,0.2,23,1,1,1,2024-04-23 08:00,1,0.009,1,0.019
1,43,0.002,0.2,26,1,1,1,2024-04-23 07:00,1,0.008,1,0.017
1,43,0.002,0.1,19,1,1,1,2024-04-23 06:00,1,0.006,1,0.015
1,40,0.002,0.1,22,1,1,1,2024-04-23 05:00,1,0.006,1,0.022
1,58,0.002,0.2,18,2,2,1,2024-04-23 04:00,1,0.004,1,0.040
1,63,0.002,0.1,14,2,2,1,2024-04-23 03:00,1,0.004,1,0.045
1,67,0.002,0.2,14,2,2,1,2024-04-23 02:00,1,0.004,1,0.050
1,71,0.002,0.2,19,2,2,1,2024-04-23 01:00,1,0.004,1,0.055
1,73,0.002,0.2,15,2,2,1,2024-04-22 24:00,1,0.004,1,0.058
1,76,0.002,0.2,20,2,2,1,2024-04-22 23:00,1,0.004,1,0.061
1,76,0.002,0.2,23,2,2,1,2024-04-22 22:00,1,0.005,1,0.061
1,78,0.002,0.2,25,2,2,1,2024-04-22 21:00,1,0.004,1,0.064
1,74,0.002,0.2,27,2,2,1,2024-04-22 20:00,1,0.005,1,0.059
1,73,0.002,0.2,31,2,2,1,2024-04-22 19:00,1,0.004,1,0.058
1,75,0.002,0.1,28,2,2,1,2024-04-22 18:00,1,0.004,1,0.060
1,75,0.002,0.1,29,2,2,1,2024-04-22 17:00,1,0.004,1,0.060
1,77,0.002,0.1,27,2,2,1,2024-04-22 16:00,1,0.003,1,0.062
1,76,0.002,0.1,28,2,2,1,2024-04-22 15:00,1,0.003,2,0.061
1,76,0.002,0.1,27,2,2,1,2024-04-22 14:00,1,0.003,2,0.061
