so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.002,0.3,21,2,2,1,2024-04-23 11:00,1,0.015,1,0.054
1,68,0.002,0.3,21,2,2,1,2024-04-23 10:00,1,0.015,1,0.052
1,67,0.002,0.3,22,2,2,1,2024-04-23 09:00,1,0.015,1,0.050
1,59,0.002,0.3,20,2,2,1,2024-04-23 08:00,1,0.022,1,0.041
1,59,0.002,0.3,17,2,2,1,2024-04-23 07:00,1,0.022,1,0.041
1,65,0.002,0.3,18,2,2,1,2024-04-23 06:00,1,0.014,1,0.048
1,60,0.002,0.3,20,2,2,1,2024-04-23 05:00,1,0.016,1,0.042
1,56,0.002,0.3,21,2,2,1,2024-04-23 04:00,1,0.018,1,0.037
1,58,0.002,0.3,23,2,2,1,2024-04-23 03:00,1,0.014,2,0.040
1,58,0.003,0.3,28,2,2,1,2024-04-23 02:00,1,0.015,2,0.039
1,61,0.002,0.3,30,2,2,1,2024-04-23 01:00,1,0.020,2,0.034
1,75,0.002,0.4,46,1,2,2,2024-04-22 24:00,1,0.045,2,0.019
1,61,0.003,0.4,51,2,2,2,2024-04-22 23:00,1,0.037,2,0.040
1,71,0.002,0.3,41,2,2,1,2024-04-22 22:00,1,0.017,2,0.055
1,60,0.002,0.3,37,2,2,1,2024-04-22 21:00,1,0.021,2,0.042
1,66,0.002,0.3,37,2,2,2,2024-04-22 20:00,1,0.040,2,0.035
1,70,0.002,0.3,31,2,2,1,2024-04-22 19:00,1,0.021,2,0.054
1,77,0.002,0.3,27,2,2,1,2024-04-22 18:00,1,0.015,2,0.062
1,80,0.003,0.3,30,2,2,1,2024-04-22 17:00,1,0.013,2,0.066
1,83,0.002,0.3,32,2,2,1,2024-04-22 16:00,1,0.010,2,0.070
1,82,0.002,0.3,30,2,2,1,2024-04-22 15:00,1,0.010,2,0.068
1,79,0.003,0.3,32,2,2,1,2024-04-22 14:00,1,0.010,2,0.065
1,73,0.002,0.3,32,2,2,1,2024-04-22 13:00,1,0.012,2,0.058
