so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.002,0.3,27,2,2,1,2024-04-23 11:00,1,0.009,1,0.054
1,63,0.002,0.3,29,2,2,1,2024-04-23 10:00,1,0.012,1,0.045
1,54,0.002,0.3,29,2,2,1,2024-04-23 09:00,1,0.017,1,0.035
1,56,0.002,0.3,28,1,2,1,2024-04-23 08:00,1,0.019,1,0.025
1,56,0.002,0.3,28,1,2,1,2024-04-23 07:00,1,0.019,1,0.021
1,51,0.002,0.3,22,1,2,1,2024-04-23 06:00,1,0.015,1,0.026
1,50,0.002,0.3,23,1,1,1,2024-04-23 05:00,1,0.014,1,0.023
1,50,0.001,0.3,17,1,1,1,2024-04-23 04:00,1,0.013,1,0.020
1,47,0.001,0.3,22,1,1,1,2024-04-23 03:00,1,0.013,1,0.019
1,47,0.001,0.3,22,1,1,1,2024-04-23 02:00,1,0.012,1,0.025
1,57,0.001,0.2,27,2,2,1,2024-04-23 01:00,1,0.009,1,0.038
1,56,0.001,0.3,27,2,2,1,2024-04-22 24:00,1,0.011,1,0.037
1,53,0.001,0.3,32,2,2,1,2024-04-22 23:00,1,0.014,1,0.034
1,55,0.001,0.3,25,2,2,1,2024-04-22 22:00,1,0.011,1,0.036
1,64,0.002,0.2,28,2,2,1,2024-04-22 21:00,1,0.006,1,0.047
1,68,0.002,0.3,29,2,2,1,2024-04-22 20:00,1,0.007,1,0.052
1,70,0.001,0.3,24,2,2,1,2024-04-22 19:00,1,0.007,1,0.054
1,70,0.001,0.3,26,2,2,1,2024-04-22 18:00,1,0.006,2,0.054
1,70,0.002,0.3,29,2,2,1,2024-04-22 17:00,1,0.007,2,0.054
1,72,0.002,0.3,27,2,2,1,2024-04-22 16:00,1,0.007,2,0.056
1,72,0.002,0.3,29,2,2,1,2024-04-22 15:00,1,0.008,2,0.056
1,73,0.002,0.3,29,2,2,1,2024-04-22 14:00,1,0.006,2,0.058
1,72,0.002,0.3,35,2,2,1,2024-04-22 13:00,1,0.006,2,0.056
