so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,64,0.002,0.3,22,2,2,1,2024-04-23 09:00,1,0.009,1,0.047
1,61,0.001,0.2,18,2,2,1,2024-04-23 08:00,1,0.010,1,0.043
1,56,0.001,0.2,20,2,2,1,2024-04-23 07:00,1,0.011,1,0.037
1,57,0.001,0.2,19,2,2,1,2024-04-23 06:00,1,0.006,1,0.038
1,58,0.001,0.2,21,2,2,1,2024-04-23 05:00,1,0.004,1,0.039
1,59,0.001,0.2,19,2,2,1,2024-04-23 04:00,1,0.003,1,0.041
1,63,0.001,0.2,20,2,2,1,2024-04-23 03:00,1,0.004,1,0.045
1,59,0.001,0.2,25,2,2,1,2024-04-23 02:00,1,0.005,1,0.041
1,58,0.001,0.2,28,2,2,1,2024-04-23 01:00,1,0.005,1,0.039
1,56,0.001,0.3,27,2,2,1,2024-04-22 24:00,1,0.008,2,0.037
1,65,0.001,0.2,31,2,2,1,2024-04-22 23:00,1,0.004,2,0.048
1,65,0.001,0.2,31,2,2,1,2024-04-22 22:00,1,0.006,2,0.048
1,65,0.001,0.3,34,2,2,1,2024-04-22 21:00,1,0.007,2,0.048
1,68,0.002,0.3,36,2,2,1,2024-04-22 20:00,1,0.008,2,0.052
1,75,0.002,0.2,33,2,2,1,2024-04-22 19:00,1,0.008,1,0.060
1,78,0.002,0.2,31,2,2,1,2024-04-22 18:00,1,0.005,1,0.064
1,79,0.001,0.2,28,2,2,1,2024-04-22 17:00,1,0.005,1,0.065
1,79,0.002,0.2,28,2,2,1,2024-04-22 16:00,1,0.005,1,0.065
1,78,0.002,0.2,31,2,2,1,2024-04-22 15:00,1,0.006,1,0.063
1,78,0.001,0.2,28,2,2,1,2024-04-22 14:00,1,0.004,1,0.063
1,77,0.002,0.2,26,2,2,1,2024-04-22 13:00,1,0.004,2,0.062
1,75,0.001,0.2,31,2,2,1,2024-04-22 12:00,1,0.004,2,0.060
