so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,71,0.001,0.3,33,2,2,1,2024-04-23 11:00,1,0.005,2,0.055
1,69,0.001,0.3,32,2,2,1,2024-04-23 10:00,1,0.006,2,0.053
1,64,0.001,0.3,45,2,2,1,2024-04-23 09:00,1,0.007,2,0.047
1,54,0.001,0.3,28,2,2,1,2024-04-23 08:00,1,0.011,1,0.034
1,56,0.001,0.3,25,1,2,1,2024-04-23 07:00,1,0.014,1,0.021
1,59,0.001,0.3,26,1,2,1,2024-04-23 06:00,1,0.012,2,0.020
1,64,0.001,0.3,27,1,2,1,2024-04-23 05:00,1,0.010,2,0.024
1,69,0.001,0.3,29,1,2,1,2024-04-23 04:00,1,0.007,2,0.019
1,69,0.001,0.3,33,1,2,1,2024-04-23 03:00,1,0.008,2,0.014
1,72,0.001,0.3,35,1,2,1,2024-04-23 02:00,1,0.008,2,0.008
1,69,0.002,0.3,40,1,2,1,2024-04-23 01:00,1,0.009,2,0.012
1,66,0.002,0.3,37,1,2,1,2024-04-22 24:00,1,0.010,2,0.013
1,66,0.002,0.3,37,1,2,1,2024-04-22 23:00,1,0.010,2,0.021
1,64,0.003,0.3,38,1,2,1,2024-04-22 22:00,1,0.012,2,0.028
1,61,0.004,0.3,37,1,2,1,2024-04-22 21:00,1,0.014,2,0.028
1,64,0.004,0.4,33,1,2,1,2024-04-22 20:00,1,0.014,2,0.030
1,61,0.005,0.3,36,2,2,1,2024-04-22 19:00,1,0.014,2,0.031
1,59,0.004,0.3,33,2,2,1,2024-04-22 18:00,1,0.013,2,0.036
1,60,0.002,0.3,36,2,2,1,2024-04-22 17:00,1,0.011,2,0.042
1,64,0.002,0.3,35,2,2,1,2024-04-22 16:00,1,0.009,2,0.047
1,69,0.001,0.3,37,2,2,1,2024-04-22 15:00,1,0.006,2,0.053
1,72,0.001,0.3,48,2,2,1,2024-04-22 14:00,1,0.004,2,0.056
