so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.001,0.3,24,2,2,1,2024-04-23 11:00,1,0.011,1,0.059
1,70,0.001,0.3,26,2,2,1,2024-04-23 10:00,1,0.015,1,0.054
1,62,0.001,0.3,30,2,2,1,2024-04-23 09:00,1,0.019,1,0.044
1,47,0.002,0.3,30,1,1,1,2024-04-23 08:00,1,0.024,1,0.028
1,45,0.001,0.3,29,1,1,1,2024-04-23 07:00,1,0.027,1,0.026
1,54,0.001,0.3,20,2,2,1,2024-04-23 06:00,1,0.017,1,0.035
1,58,0.001,0.2,18,2,2,1,2024-04-23 05:00,1,0.010,1,0.040
1,59,0.001,0.2,21,2,2,1,2024-04-23 04:00,1,0.007,1,0.041
1,61,0.001,0.2,21,2,2,1,2024-04-23 03:00,1,0.008,1,0.043
1,61,0.001,0.3,19,2,2,1,2024-04-23 02:00,1,0.008,1,0.043
1,68,0.001,0.2,20,2,2,1,2024-04-23 01:00,1,0.007,1,0.052
1,73,0.001,0.2,18,2,2,1,2024-04-22 24:00,1,0.006,1,0.058
1,73,0.001,0.3,17,2,2,1,2024-04-22 23:00,1,0.007,1,0.057
1,72,0.001,0.3,20,2,2,1,2024-04-22 22:00,1,0.008,1,0.056
1,71,0.001,0.3,21,2,2,1,2024-04-22 21:00,1,0.010,1,0.055
1,71,0.001,0.3,22,2,2,1,2024-04-22 20:00,1,0.010,2,0.055
1,70,0.001,0.3,23,2,2,1,2024-04-22 19:00,1,0.013,2,0.054
1,71,0.001,0.3,30,2,2,1,2024-04-22 18:00,1,0.012,2,0.055
1,70,0.001,0.3,38,2,2,1,2024-04-22 17:00,1,0.013,2,0.054
1,70,0.001,0.3,44,2,2,1,2024-04-22 16:00,1,0.013,2,0.054
1,68,0.002,0.4,41,2,2,1,2024-04-22 15:00,1,0.016,2,0.051
1,66,0.002,0.4,40,2,2,1,2024-04-22 14:00,1,0.017,2,0.049
