so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.3,22,2,2,1,2024-04-23 11:00,1,0.005,1,0.058
1,73,0.001,0.3,18,2,2,1,2024-04-23 10:00,1,0.005,1,0.058
1,74,0.001,0.3,18,2,2,1,2024-04-23 09:00,1,0.005,1,0.059
1,73,0.001,0.3,10,2,2,1,2024-04-23 08:00,1,0.005,1,0.058
1,73,0.001,0.3,15,2,2,1,2024-04-23 07:00,1,0.005,2,0.058
1,74,0.001,0.3,16,2,2,1,2024-04-23 06:00,1,0.005,2,0.059
1,71,0.001,0.3,27,2,2,1,2024-04-23 05:00,1,0.005,2,0.055
1,69,0.001,0.3,30,2,2,1,2024-04-23 04:00,1,0.006,2,0.047
1,74,0.001,0.3,50,2,2,1,2024-04-23 03:00,1,0.011,2,0.038
1,74,0.001,0.3,34,2,2,1,2024-04-23 02:00,1,0.006,2,0.046
1,79,0.001,0.3,42,2,2,1,2024-04-23 01:00,1,0.006,2,0.054
1,82,0.001,0.3,46,2,2,1,2024-04-22 24:00,1,0.006,2,0.057
1,82,0.001,0.3,56,2,2,1,2024-04-22 23:00,1,0.008,2,0.057
1,77,0.001,0.3,56,2,2,1,2024-04-22 22:00,1,0.009,2,0.054
1,77,0.001,0.3,50,2,2,1,2024-04-22 21:00,1,0.013,2,0.047
1,72,0.001,0.4,53,2,2,1,2024-04-22 20:00,1,0.016,2,0.042
1,66,0.001,0.4,46,2,2,1,2024-04-22 19:00,1,0.016,2,0.041
1,66,0.001,0.4,35,2,2,1,2024-04-22 18:00,1,0.011,2,0.043
1,66,0.001,0.4,26,2,2,1,2024-04-22 17:00,1,0.007,2,0.045
1,71,0.001,0.4,27,2,2,1,2024-04-22 16:00,1,0.006,2,0.055
1,69,0.001,0.4,31,2,2,1,2024-04-22 15:00,1,0.007,2,0.049
1,69,0.001,0.4,39,2,2,1,2024-04-22 14:00,1,0.010,2,0.043
1,69,0.001,0.4,40,2,2,1,2024-04-22 13:00,1,0.010,2,0.040
