so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.003,0.4,60,2,2,1,2024-04-23 11:00,1,0.011,2,0.056
1,69,0.003,0.4,46,2,2,1,2024-04-23 10:00,1,0.013,2,0.053
1,68,0.003,0.5,31,2,2,1,2024-04-23 09:00,1,0.011,1,0.052
1,56,0.003,0.5,34,2,2,1,2024-04-23 08:00,1,0.020,1,0.034
1,60,0.003,0.4,22,2,2,1,2024-04-23 07:00,1,0.013,1,0.042
1,56,0.003,0.5,27,2,2,1,2024-04-23 06:00,1,0.012,1,0.034
1,56,0.003,0.4,24,2,2,1,2024-04-23 05:00,1,0.010,1,0.036
1,61,0.003,0.4,33,2,2,1,2024-04-23 04:00,1,0.009,1,0.043
1,60,0.003,0.5,31,2,2,1,2024-04-23 03:00,1,0.008,1,0.042
1,56,0.003,0.5,25,1,2,1,2024-04-23 02:00,1,0.010,1,0.030
1,54,0.003,0.5,25,1,2,1,2024-04-23 01:00,1,0.013,1,0.028
1,52,0.003,0.5,27,2,2,1,2024-04-22 24:00,1,0.014,1,0.032
1,58,0.003,0.5,31,2,2,1,2024-04-22 23:00,1,0.012,1,0.040
1,61,0.003,0.4,27,2,2,1,2024-04-22 22:00,1,0.011,1,0.043
1,63,0.003,0.4,27,2,2,1,2024-04-22 21:00,1,0.010,1,0.045
1,62,0.003,0.4,33,2,2,1,2024-04-22 20:00,1,0.010,1,0.044
1,58,0.003,0.4,37,2,2,1,2024-04-22 19:00,1,0.011,1,0.040
1,59,0.003,0.5,23,2,2,1,2024-04-22 18:00,1,0.009,1,0.041
1,58,0.003,0.5,33,2,2,1,2024-04-22 17:00,1,0.011,1,0.039
1,58,0.003,0.5,29,2,2,1,2024-04-22 16:00,1,0.009,1,0.040
1,58,0.003,0.5,27,2,2,1,2024-04-22 15:00,1,0.009,1,0.040
1,58,0.003,0.5,30,2,2,1,2024-04-22 14:00,1,0.009,1,0.040
