so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.004,0.3,30,2,2,1,2024-04-23 11:00,1,0.007,2,0.054
1,67,0.004,0.3,39,2,2,1,2024-04-23 10:00,1,0.008,2,0.050
1,65,0.005,0.3,31,2,2,1,2024-04-23 09:00,1,0.008,2,0.048
1,64,0.005,0.3,23,2,2,1,2024-04-23 08:00,1,0.012,2,0.041
1,66,0.004,0.3,33,2,2,1,2024-04-23 07:00,1,0.018,2,0.032
1,69,0.004,0.3,23,2,2,1,2024-04-23 06:00,1,0.014,2,0.033
1,72,0.004,0.3,23,2,2,1,2024-04-23 05:00,1,0.008,2,0.040
1,77,0.004,0.3,25,2,2,1,2024-04-23 04:00,1,0.011,2,0.038
1,79,0.004,0.3,33,2,2,1,2024-04-23 03:00,1,0.011,2,0.035
1,79,0.004,0.4,54,1,2,1,2024-04-23 02:00,1,0.022,2,0.030
1,82,0.005,0.4,56,2,2,1,2024-04-23 01:00,1,0.018,2,0.040
1,79,0.004,0.4,65,2,2,1,2024-04-22 24:00,1,0.019,2,0.038
1,79,0.004,0.4,61,2,2,1,2024-04-22 23:00,1,0.016,2,0.046
1,79,0.005,0.4,65,2,2,1,2024-04-22 22:00,1,0.019,2,0.044
1,72,0.004,0.4,58,2,2,1,2024-04-22 21:00,1,0.018,2,0.052
1,74,0.004,0.3,51,2,2,1,2024-04-22 20:00,1,0.014,2,0.059
1,79,0.004,0.3,42,2,2,1,2024-04-22 19:00,1,0.008,2,0.065
1,82,0.004,0.3,41,2,2,1,2024-04-22 18:00,1,0.007,2,0.068
1,81,0.004,0.3,35,2,2,1,2024-04-22 17:00,1,0.007,2,0.067
1,82,0.004,0.3,41,2,2,1,2024-04-22 16:00,1,0.006,2,0.068
1,82,0.004,0.3,37,2,2,1,2024-04-22 15:00,1,0.006,2,0.068
1,77,0.004,0.3,41,2,2,1,2024-04-22 14:00,1,0.007,2,0.062
1,72,0.004,0.3,41,2,2,1,2024-04-22 13:00,1,0.007,2,0.056
