so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,77,0.001,0.3,19,2,2,1,2024-04-23 11:00,1,0.003,1,0.062
1,72,0.001,0.3,16,2,2,1,2024-04-23 10:00,1,0.004,1,0.056
1,68,0.001,0.3,19,2,2,1,2024-04-23 09:00,1,0.005,1,0.052
1,57,0.001,0.3,16,2,2,1,2024-04-23 08:00,1,0.017,1,0.038
1,45,0.001,0.4,19,1,1,1,2024-04-23 07:00,1,0.027,1,0.016
1,50,0.001,0.4,20,1,1,1,2024-04-23 06:00,1,0.012,1,0.030
1,53,0.001,0.3,23,2,2,1,2024-04-23 05:00,1,0.007,1,0.034
1,55,0.001,0.3,21,2,2,1,2024-04-23 04:00,1,0.006,1,0.036
1,53,0.001,0.4,23,2,2,1,2024-04-23 03:00,1,0.007,1,0.034
1,50,0.001,0.4,27,1,1,1,2024-04-23 02:00,1,0.011,1,0.027
1,50,0.001,0.4,28,1,1,1,2024-04-23 01:00,1,0.011,1,0.030
1,52,0.001,0.4,30,2,2,1,2024-04-22 24:00,1,0.012,2,0.032
1,59,0.001,0.4,32,2,2,1,2024-04-22 23:00,1,0.010,2,0.041
1,62,0.001,0.4,32,2,2,1,2024-04-22 22:00,1,0.010,2,0.044
1,56,0.001,0.5,31,2,2,1,2024-04-22 21:00,1,0.017,2,0.037
1,59,0.001,0.4,33,2,2,1,2024-04-22 20:00,1,0.017,2,0.041
1,78,0.001,0.3,34,2,2,1,2024-04-22 19:00,1,0.006,2,0.064
1,83,0.001,0.3,34,2,2,1,2024-04-22 18:00,1,0.003,1,0.069
1,84,0.001,0.3,29,2,2,1,2024-04-22 17:00,1,0.002,1,0.071
1,83,0.001,0.3,27,2,2,1,2024-04-22 16:00,1,0.002,1,0.070
1,83,0.001,0.3,26,2,2,1,2024-04-22 15:00,1,0.002,1,0.069
1,82,0.001,0.3,28,2,2,1,2024-04-22 14:00,1,0.002,1,0.068
