so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.003,0.3,23,2,2,1,2024-04-23 11:00,1,0.012,1,0.057
1,70,0.002,0.3,20,2,2,1,2024-04-23 10:00,1,0.015,1,0.054
1,69,0.003,0.4,20,2,2,1,2024-04-23 09:00,1,0.013,1,0.053
1,63,0.003,0.4,22,2,2,1,2024-04-23 08:00,1,0.017,1,0.045
1,61,0.003,0.4,24,2,2,1,2024-04-23 07:00,1,0.022,1,0.036
1,64,0.003,0.4,23,2,2,1,2024-04-23 06:00,1,0.017,1,0.034
1,64,0.003,0.3,25,2,2,1,2024-04-23 05:00,1,0.012,1,0.040
1,64,0.003,0.4,30,1,2,1,2024-04-23 04:00,1,0.020,1,0.024
1,61,0.003,0.4,32,1,2,1,2024-04-23 03:00,1,0.020,1,0.022
1,59,0.003,0.4,35,1,2,1,2024-04-23 02:00,1,0.022,1,0.018
1,51,0.003,0.4,28,1,2,1,2024-04-23 01:00,1,0.021,1,0.021
1,50,0.003,0.4,26,1,1,1,2024-04-22 24:00,1,0.019,1,0.030
1,61,0.003,0.3,25,2,2,1,2024-04-22 23:00,1,0.013,1,0.043
1,62,0.003,0.3,23,2,2,1,2024-04-22 22:00,1,0.014,1,0.044
1,64,0.003,0.3,22,2,2,1,2024-04-22 21:00,1,0.012,1,0.047
1,63,0.003,0.3,22,2,2,1,2024-04-22 20:00,1,0.013,1,0.045
1,58,0.003,0.3,23,2,2,1,2024-04-22 19:00,1,0.015,1,0.039
1,59,0.003,0.3,23,2,2,1,2024-04-22 18:00,1,0.013,1,0.041
1,59,0.003,0.3,24,2,2,1,2024-04-22 17:00,1,0.013,1,0.041
1,58,0.003,0.4,24,2,2,1,2024-04-22 16:00,1,0.013,1,0.040
1,58,0.003,0.3,22,2,2,1,2024-04-22 15:00,1,0.013,1,0.040
1,60,0.003,0.3,19,2,2,1,2024-04-22 14:00,1,0.013,1,0.042
