coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,pm10Grade,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 12:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,1,,,,,
,64,0.002,0.2,,31,,,,2024-04-23 10:00,0.007,0.047,1,1,2,2,1,1
,64,0.001,0.3,,33,,,,2024-04-23 09:00,0.010,0.047,1,1,2,2,1,1
,68,0.001,0.3,,22,,,,2024-04-23 08:00,0.009,0.052,1,1,2,2,1,1
,70,0.001,0.3,,22,,,,2024-04-23 07:00,0.009,0.054,1,1,2,2,1,1
,70,0.001,0.2,,25,,,,2024-04-23 06:00,0.007,0.054,1,1,2,2,1,1
,73,0.001,0.2,,22,,,,2024-04-23 05:00,0.005,0.057,1,1,2,2,1,1
,73,0.001,0.2,,27,,,,2024-04-23 04:00,0.004,0.058,1,1,2,2,1,1
,73,0.001,0.2,,20,,,,2024-04-23 03:00,0.004,0.058,1,1,2,2,1,1
,73,0.001,0.2,,27,,,,2024-04-23 02:00,0.004,0.057,1,1,2,2,1,1
,73,0.001,0.2,,34,,,,2024-04-23 01:00,0.004,0.057,2,1,2,2,1,1
,68,0.002,0.3,,28,,,,2024-04-22 24:00,0.005,0.052,2,1,2,2,1,1
,64,0.002,0.3,,28,,,,2024-04-22 23:00,0.006,0.047,2,1,2,2,1,1
,65,0.002,0.2,,30,,,,2024-04-22 22:00,0.006,0.048,2,1,2,2,1,1
,67,0.001,0.2,,33,,,,2024-04-22 21:00,0.006,0.050,2,1,2,2,1,1
,65,0.002,0.2,,31,,,,2024-04-22 20:00,0.006,0.048,2,1,2,2,1,1
,62,0.001,0.2,,31,,,,2024-04-22 19:00,0.007,0.044,2,1,2,2,1,1
,63,0.001,0.2,,31,,,,2024-04-22 18:00,0.007,0.045,2,1,2,2,1,1
,63,0.001,0.2,,35,,,,2024-04-22 17:00,0.007,0.045,2,1,2,2,1,1
,63,0.001,0.2,,36,,,,2024-04-22 16:00,0.007,0.045,2,1,2,2,1,1
,60,0.001,0.2,,29,,,,2024-04-22 15:00,0.008,0.042,2,1,2,2,1,1
,58,0.002,0.2,,34,,,,2024-04-22 14:00,0.008,0.040,2,1,2,2,1,1
