so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.003,0.4,27,2,2,1,2024-04-23 11:00,1,0.012,1,0.054
1,63,0.002,0.4,25,2,2,1,2024-04-23 10:00,1,0.016,1,0.045
1,58,0.003,0.4,25,2,2,1,2024-04-23 09:00,1,0.019,1,0.040
1,57,0.002,0.4,25,2,2,1,2024-04-23 08:00,1,0.024,1,0.038
1,58,0.003,0.4,27,2,2,1,2024-04-23 07:00,1,0.020,1,0.040
1,65,0.002,0.4,22,2,2,1,2024-04-23 06:00,1,0.014,1,0.048
1,68,0.002,0.3,20,2,2,1,2024-04-23 05:00,1,0.010,1,0.051
1,68,0.002,0.3,21,2,2,1,2024-04-23 04:00,1,0.007,1,0.052
1,68,0.002,0.3,22,2,2,1,2024-04-23 03:00,1,0.008,1,0.052
1,66,0.003,0.4,25,2,2,1,2024-04-23 02:00,1,0.009,2,0.049
1,65,0.003,0.3,25,2,2,1,2024-04-23 01:00,1,0.010,2,0.048
1,64,0.003,0.4,34,2,2,1,2024-04-22 24:00,1,0.012,2,0.043
1,66,0.003,0.5,43,2,2,1,2024-04-22 23:00,1,0.023,2,0.045
1,69,0.003,0.5,44,2,2,1,2024-04-22 22:00,1,0.024,2,0.053
1,78,0.003,0.4,42,2,2,1,2024-04-22 21:00,1,0.019,2,0.064
1,83,0.003,0.4,43,2,2,1,2024-04-22 20:00,1,0.017,2,0.070
1,80,0.003,0.4,30,2,2,1,2024-04-22 19:00,1,0.015,2,0.066
1,76,0.003,0.4,30,2,2,1,2024-04-22 18:00,1,0.013,2,0.061
1,73,0.003,0.3,34,2,2,1,2024-04-22 17:00,1,0.012,2,0.057
1,78,0.003,0.4,32,2,2,1,2024-04-22 16:00,1,0.013,2,0.063
1,78,0.003,0.4,32,2,2,1,2024-04-22 15:00,1,0.012,2,0.064
1,76,0.002,0.4,33,2,2,1,2024-04-22 14:00,1,0.012,2,0.061
