so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.002,0.3,21,2,2,1,2024-04-23 11:00,1,0.007,1,0.061
1,73,0.002,0.3,24,2,2,1,2024-04-23 10:00,1,0.007,1,0.057
1,68,0.003,0.3,28,2,2,1,2024-04-23 09:00,1,0.007,1,0.051
1,61,0.003,0.3,28,2,2,1,2024-04-23 08:00,1,0.009,1,0.043
1,58,0.003,0.3,25,2,2,1,2024-04-23 07:00,1,0.008,1,0.039
1,50,0.002,0.3,18,1,1,1,2024-04-23 06:00,1,0.007,1,0.028
1,51,0.002,0.3,17,1,2,1,2024-04-23 05:00,1,0.008,2,0.021
1,54,0.002,0.3,22,1,2,1,2024-04-23 04:00,1,0.008,2,0.022
1,55,0.002,0.3,35,1,2,1,2024-04-23 03:00,1,0.011,2,0.022
1,55,0.002,0.4,36,1,2,1,2024-04-23 02:00,1,0.008,2,0.024
1,56,0.002,0.4,32,1,2,1,2024-04-23 01:00,1,0.008,2,0.027
1,59,0.002,0.4,28,1,2,1,2024-04-22 24:00,1,0.009,2,0.029
1,61,0.002,0.4,29,2,2,1,2024-04-22 23:00,1,0.010,2,0.038
1,61,0.003,0.4,40,2,2,1,2024-04-22 22:00,1,0.013,2,0.041
1,65,0.003,0.4,42,2,2,1,2024-04-22 21:00,1,0.016,2,0.048
1,70,0.003,0.4,42,2,2,1,2024-04-22 20:00,1,0.015,2,0.054
1,80,0.003,0.4,45,2,2,1,2024-04-22 19:00,1,0.010,2,0.066
1,90,0.004,0.4,46,2,2,1,2024-04-22 18:00,1,0.010,2,0.078
1,96,0.004,0.4,47,2,2,1,2024-04-22 17:00,1,0.009,2,0.085
1,93,0.004,0.4,36,2,2,1,2024-04-22 16:00,1,0.007,2,0.081
1,84,0.004,0.4,33,2,2,1,2024-04-22 15:00,1,0.006,2,0.071
1,78,0.003,0.3,33,2,2,1,2024-04-22 14:00,1,0.006,2,0.064
