so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.004,0.2,30,2,2,1,2024-04-23 11:00,1,0.008,1,0.051
1,63,0.003,0.2,21,2,2,1,2024-04-23 10:00,1,0.007,1,0.045
1,60,0.003,0.2,25,2,2,1,2024-04-23 09:00,1,0.007,1,0.042
1,61,0.003,0.2,18,2,2,1,2024-04-23 08:00,1,0.006,1,0.043
1,60,0.003,0.2,15,2,2,1,2024-04-23 07:00,1,0.006,1,0.042
1,59,0.003,0.2,17,2,2,1,2024-04-23 06:00,1,0.005,1,0.041
1,58,0.003,0.2,19,2,2,1,2024-04-23 05:00,1,0.004,1,0.040
1,58,0.003,0.2,12,2,2,1,2024-04-23 04:00,1,0.003,1,0.039
1,58,0.003,0.2,9,2,2,1,2024-04-23 03:00,1,0.003,1,0.040
1,58,0.003,0.2,16,2,2,1,2024-04-23 02:00,1,0.003,1,0.040
1,58,0.003,0.2,15,2,2,1,2024-04-23 01:00,1,0.003,1,0.040
1,58,0.003,0.2,15,2,2,1,2024-04-22 24:00,1,0.003,1,0.040
1,59,0.003,0.2,23,2,2,1,2024-04-22 23:00,1,0.003,1,0.041
1,60,0.003,0.2,22,2,2,1,2024-04-22 22:00,1,0.003,1,0.042
1,65,0.003,0.2,30,2,2,1,2024-04-22 21:00,1,0.006,2,0.048
1,67,0.003,0.2,31,2,2,1,2024-04-22 20:00,1,0.008,2,0.050
1,75,0.003,0.2,26,2,2,1,2024-04-22 19:00,1,0.005,2,0.060
1,81,0.003,0.2,30,2,2,1,2024-04-22 18:00,1,0.005,2,0.067
1,82,0.003,0.2,33,2,2,1,2024-04-22 17:00,1,0.005,2,0.068
1,80,0.004,0.2,32,2,2,1,2024-04-22 16:00,1,0.006,2,0.066
1,79,0.003,0.2,34,2,2,1,2024-04-22 15:00,1,0.006,2,0.065
1,76,0.003,0.2,36,2,2,1,2024-04-22 14:00,1,0.007,2,0.061
1,73,0.003,0.2,35,2,2,1,2024-04-22 13:00,1,0.008,2,0.057
