so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.4,35,2,2,1,2024-04-23 12:00,1,0.011,1,0.056
1,71,0.002,0.4,33,2,2,1,2024-04-23 11:00,1,0.008,1,0.055
1,68,0.002,0.4,29,2,2,1,2024-04-23 10:00,1,0.008,1,0.052
1,63,0.002,0.4,28,2,2,1,2024-04-23 09:00,1,0.011,1,0.046
1,61,0.002,0.4,22,2,2,1,2024-04-23 08:00,1,0.013,1,0.043
1,60,0.002,0.4,23,2,2,1,2024-04-23 07:00,1,0.012,1,0.042
1,62,0.002,0.4,25,2,2,1,2024-04-23 06:00,1,0.009,1,0.044
1,60,0.002,0.4,24,2,2,1,2024-04-23 05:00,1,0.009,1,0.042
1,59,0.002,0.4,26,2,2,1,2024-04-23 04:00,1,0.011,1,0.041
1,59,0.003,0.4,26,2,2,1,2024-04-23 03:00,1,0.007,1,0.041
1,52,0.003,0.4,25,2,2,1,2024-04-23 02:00,1,0.010,1,0.032
1,51,0.002,0.4,25,2,2,1,2024-04-23 01:00,1,0.012,1,0.031
1,47,0.003,0.4,25,1,1,1,2024-04-22 24:00,1,0.019,1,0.027
1,50,0.002,0.4,32,1,1,1,2024-04-22 23:00,1,0.015,1,0.030
1,48,0.002,0.4,26,1,1,1,2024-04-22 22:00,1,0.016,1,0.029
1,51,0.002,0.4,27,2,2,1,2024-04-22 21:00,1,0.012,1,0.031
1,51,0.002,0.4,30,1,2,1,2024-04-22 20:00,1,0.017,2,0.027
1,52,0.002,0.4,32,1,2,1,2024-04-22 19:00,1,0.018,2,0.028
1,52,0.002,0.4,33,1,2,1,2024-04-22 18:00,1,0.018,2,0.030
1,52,0.002,0.4,31,1,2,1,2024-04-22 17:00,1,0.021,2,0.030
1,53,0.002,0.4,33,2,2,1,2024-04-22 16:00,1,0.018,2,0.033
1,60,0.002,0.4,26,2,2,1,2024-04-22 15:00,1,0.007,2,0.042
1,60,0.002,0.4,27,2,2,1,2024-04-22 14:00,1,0.006,2,0.042
