so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.002,0.3,18,2,2,1,2024-04-23 11:00,1,0.003,1,0.061
1,76,0.002,0.3,27,2,2,1,2024-04-23 10:00,1,0.005,1,0.061
1,78,0.002,0.3,26,2,2,1,2024-04-23 09:00,1,0.005,1,0.063
1,63,0.002,0.4,29,2,2,1,2024-04-23 08:00,1,0.016,1,0.045
1,51,0.002,0.4,35,1,2,1,2024-04-23 07:00,1,0.024,1,0.018
1,50,0.002,0.3,23,1,1,1,2024-04-23 06:00,1,0.010,1,0.030
1,52,0.002,0.3,19,2,2,1,2024-04-23 05:00,1,0.008,1,0.032
1,53,0.002,0.3,15,2,2,1,2024-04-23 04:00,1,0.008,1,0.034
1,56,0.002,0.3,16,2,2,1,2024-04-23 03:00,1,0.007,1,0.037
1,60,0.002,0.3,22,2,2,1,2024-04-23 02:00,1,0.005,1,0.042
1,63,0.002,0.4,26,2,2,1,2024-04-23 01:00,1,0.008,1,0.046
1,70,0.002,0.3,24,2,2,1,2024-04-22 24:00,1,0.004,1,0.054
1,75,0.002,0.3,20,2,2,1,2024-04-22 23:00,1,0.004,1,0.060
1,74,0.002,0.4,20,2,2,1,2024-04-22 22:00,1,0.005,1,0.059
1,70,0.002,0.4,23,2,2,1,2024-04-22 21:00,1,0.006,1,0.054
1,68,0.002,0.4,23,2,2,1,2024-04-22 20:00,1,0.007,1,0.052
1,70,0.002,0.3,22,2,2,1,2024-04-22 19:00,1,0.005,1,0.054
1,72,0.002,0.3,28,2,2,1,2024-04-22 18:00,1,0.004,1,0.056
1,70,0.002,0.3,26,2,2,1,2024-04-22 17:00,1,0.004,1,0.054
1,68,0.002,0.3,27,2,2,1,2024-04-22 16:00,1,0.004,2,0.052
1,65,0.002,0.3,27,2,2,1,2024-04-22 15:00,1,0.004,2,0.048
1,64,0.002,0.3,30,2,2,1,2024-04-22 14:00,1,0.005,2,0.047
1,65,0.002,0.3,30,2,2,1,2024-04-22 13:00,1,0.005,2,0.048
