so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,o3Flag,khaiGrade
1,-,0.002,0.3,44,2,1,2024-04-23 12:00,1,0.006,2,0.064,,
1,-,0.002,0.3,41,2,1,2024-04-23 11:00,1,0.007,2,0.059,,
1,-,0.002,0.3,39,2,1,2024-04-23 10:00,1,0.010,2,0.050,,
1,-,0.002,0.3,32,1,1,2024-04-23 09:00,1,0.018,2,0.012,,
1,-,0.002,0.3,32,,1,2024-04-23 08:00,1,0.015,2,-,통신장애,
1,-,0.002,0.3,36,1,1,2024-04-23 07:00,1,0.011,2,0.001,,
1,-,0.002,0.3,32,1,1,2024-04-23 06:00,1,0.013,2,0.005,,
1,-,0.002,0.3,30,1,1,2024-04-23 05:00,1,0.014,2,0.006,,
1,-,0.002,0.3,32,1,1,2024-04-23 04:00,1,0.011,2,0.013,,
1,-,0.002,0.3,29,1,1,2024-04-23 03:00,1,0.010,2,0.018,,
1,-,0.002,0.3,35,1,1,2024-04-23 02:00,1,0.011,2,0.014,,
1,-,0.002,0.3,34,1,1,2024-04-23 01:00,1,0.015,2,0.011,,
1,-,0.002,0.3,35,1,1,2024-04-22 24:00,1,0.012,2,0.017,,
1,-,0.002,0.3,41,1,1,2024-04-22 23:00,1,0.017,2,0.014,,
1,64,0.002,0.3,44,1,1,2024-04-22 22:00,1,0.021,2,0.021,,2
1,64,0.002,0.3,44,2,1,2024-04-22 21:00,1,0.011,2,0.038,,2
1,64,0.002,0.3,42,2,1,2024-04-22 20:00,1,0.011,2,0.037,,2
1,64,0.002,0.3,45,2,1,2024-04-22 19:00,1,0.009,2,0.043,,2
1,68,0.002,0.2,35,2,1,2024-04-22 18:00,1,0.007,2,0.051,,2
1,68,0.002,0.2,36,2,1,2024-04-22 17:00,1,0.006,2,0.052,,2
1,66,0.002,0.2,43,2,1,2024-04-22 16:00,1,0.008,2,0.049,,2
1,67,0.002,0.2,43,2,1,2024-04-22 15:00,1,0.007,2,0.050,,2
1,68,0.002,0.2,45,2,1,2024-04-22 14:00,1,0.006,2,0.051,,2
