so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.002,0.3,24,2,2,1,2024-04-23 11:00,1,0.007,1,0.057
1,71,0.002,0.4,26,2,2,1,2024-04-23 10:00,1,0.007,1,0.055
1,66,0.002,0.4,31,2,2,1,2024-04-23 09:00,1,0.009,1,0.049
1,57,0.002,0.4,29,2,2,1,2024-04-23 08:00,1,0.012,1,0.038
1,53,0.002,0.4,22,2,2,1,2024-04-23 07:00,1,0.010,1,0.033
1,53,0.002,0.4,19,2,2,1,2024-04-23 06:00,1,0.008,1,0.033
1,55,0.002,0.4,15,2,2,1,2024-04-23 05:00,1,0.008,1,0.036
1,60,0.002,0.4,18,2,2,1,2024-04-23 04:00,1,0.007,1,0.042
1,60,0.002,0.4,21,2,2,1,2024-04-23 03:00,1,0.007,1,0.042
1,56,0.002,0.4,18,2,2,1,2024-04-23 02:00,1,0.008,1,0.037
1,53,0.002,0.3,24,2,2,1,2024-04-23 01:00,1,0.008,1,0.033
1,52,0.002,0.3,26,2,2,1,2024-04-22 24:00,1,0.008,1,0.032
1,57,0.002,0.3,29,2,2,1,2024-04-22 23:00,1,0.007,1,0.038
1,60,0.002,0.3,23,2,2,1,2024-04-22 22:00,1,0.008,1,0.042
1,66,0.002,0.3,24,2,2,1,2024-04-22 21:00,1,0.007,1,0.049
1,70,0.002,0.3,30,2,2,1,2024-04-22 20:00,1,0.006,1,0.054
1,72,0.002,0.3,33,2,2,1,2024-04-22 19:00,1,0.007,1,0.056
1,75,0.002,0.3,25,2,2,1,2024-04-22 18:00,1,0.006,1,0.060
1,78,0.002,0.3,25,2,2,1,2024-04-22 17:00,1,0.006,1,0.064
1,79,0.002,0.3,24,2,2,1,2024-04-22 16:00,1,0.006,1,0.065
1,78,0.002,0.3,29,2,2,1,2024-04-22 15:00,1,0.006,2,0.064
1,78,0.002,0.3,32,2,2,1,2024-04-22 14:00,1,0.005,2,0.063
1,75,0.002,0.3,30,2,2,1,2024-04-22 13:00,1,0.006,2,0.060
