so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.002,0.4,20,2,2,1,2024-04-23 12:00,1,0.009,1,0.051
1,66,0.002,0.4,18,2,2,1,2024-04-23 11:00,1,0.012,1,0.049
1,64,0.003,0.4,17,2,2,1,2024-04-23 10:00,1,0.012,1,0.047
1,63,0.003,0.4,15,2,2,1,2024-04-23 09:00,1,0.011,1,0.046
1,58,0.003,0.4,16,2,2,1,2024-04-23 08:00,1,0.015,1,0.039
1,48,0.004,0.4,32,1,1,1,2024-04-23 07:00,1,0.029,1,0.024
1,59,0.002,0.4,24,1,2,2,2024-04-23 06:00,1,0.036,1,0.011
1,40,0.002,0.4,19,1,1,1,2024-04-23 05:00,1,0.024,1,0.020
1,52,0.002,0.4,19,2,2,1,2024-04-23 04:00,1,0.016,1,0.032
1,63,0.002,0.4,17,2,2,1,2024-04-23 03:00,1,0.009,1,0.045
1,64,0.002,0.4,16,2,2,1,2024-04-23 02:00,1,0.010,1,0.047
1,64,0.002,0.4,17,2,2,1,2024-04-23 01:00,1,0.010,1,0.047
1,58,0.002,0.4,22,2,2,1,2024-04-22 24:00,1,0.011,1,0.039
1,56,0.002,0.4,25,2,2,1,2024-04-22 23:00,1,0.012,1,0.037
1,55,0.002,0.4,25,2,2,1,2024-04-22 22:00,1,0.014,1,0.036
1,57,0.002,0.4,32,2,2,1,2024-04-22 21:00,1,0.012,2,0.038
1,59,0.002,0.4,38,2,2,1,2024-04-22 20:00,1,0.011,2,0.041
1,61,0.002,0.4,36,2,2,1,2024-04-22 19:00,1,0.009,1,0.043
1,63,0.002,0.4,29,2,2,1,2024-04-22 18:00,1,0.010,1,0.046
1,62,0.002,0.4,29,2,2,1,2024-04-22 17:00,1,0.012,1,0.044
1,62,0.002,0.4,28,2,2,1,2024-04-22 16:00,1,0.010,1,0.044
1,61,0.002,0.4,19,2,2,1,2024-04-22 15:00,1,0.011,1,0.043
1,63,0.002,0.4,24,2,2,1,2024-04-22 14:00,1,0.010,1,0.046
