so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,79,0.002,0.2,23,2,2,1,2024-04-23 11:00,1,0.006,1,0.065
1,70,0.003,0.2,26,2,2,1,2024-04-23 10:00,1,0.010,1,0.054
1,54,0.003,0.3,30,2,2,1,2024-04-23 09:00,1,0.020,1,0.035
1,43,0.003,0.3,25,1,1,1,2024-04-23 08:00,1,0.025,1,0.024
1,42,0.002,0.3,23,1,1,1,2024-04-23 07:00,1,0.025,1,0.014
1,45,0.002,0.2,24,1,1,1,2024-04-23 06:00,1,0.020,1,0.017
1,47,0.002,0.2,23,1,1,1,2024-04-23 05:00,1,0.013,1,0.028
1,55,0.002,0.2,24,2,2,1,2024-04-23 04:00,1,0.010,1,0.036
1,58,0.002,0.2,32,2,2,1,2024-04-23 03:00,1,0.010,1,0.040
1,61,0.003,0.2,23,2,2,1,2024-04-23 02:00,1,0.009,1,0.043
1,64,0.003,0.2,25,2,2,1,2024-04-23 01:00,1,0.009,1,0.047
1,66,0.003,0.2,27,2,2,1,2024-04-22 24:00,1,0.008,1,0.049
1,68,0.003,0.2,31,2,2,1,2024-04-22 23:00,1,0.008,1,0.051
1,70,0.002,0.2,30,2,2,1,2024-04-22 22:00,1,0.008,2,0.054
1,70,0.003,0.3,32,2,2,1,2024-04-22 21:00,1,0.011,2,0.054
1,71,0.002,0.3,31,2,2,1,2024-04-22 20:00,1,0.012,2,0.055
1,78,0.002,0.2,34,2,2,1,2024-04-22 19:00,1,0.008,2,0.063
1,81,0.002,0.2,30,2,2,1,2024-04-22 18:00,1,0.006,1,0.067
1,82,0.002,0.2,26,2,2,1,2024-04-22 17:00,1,0.006,1,0.068
1,81,0.002,0.2,26,2,2,1,2024-04-22 16:00,1,0.006,2,0.067
1,79,0.002,0.2,29,2,2,1,2024-04-22 15:00,1,0.006,2,0.065
1,81,0.002,0.2,31,2,2,1,2024-04-22 14:00,1,0.006,2,0.067
