so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,60,0.002,0.4,51,2,2,1,2024-04-23 12:00,1,0.010,2,0.040
1,58,0.002,0.4,52,2,2,1,2024-04-23 11:00,1,0.012,2,0.039
1,54,0.002,0.4,41,2,2,1,2024-04-23 10:00,1,0.017,2,0.033
1,52,0.002,0.4,38,1,2,1,2024-04-23 09:00,1,0.017,2,0.025
1,50,0.002,0.4,44,1,1,1,2024-04-23 08:00,1,0.018,1,0.029
1,53,0.002,0.3,30,2,2,1,2024-04-23 07:00,1,0.014,1,0.033
1,59,0.002,0.3,25,2,2,1,2024-04-23 06:00,1,0.011,1,0.041
1,66,0.002,0.3,24,2,2,1,2024-04-23 05:00,1,0.006,1,0.049
1,68,0.002,0.4,28,2,2,1,2024-04-23 04:00,1,0.004,1,0.051
1,64,0.002,0.3,25,2,2,1,2024-04-23 03:00,1,0.006,1,0.047
1,66,0.002,0.4,24,2,2,1,2024-04-23 02:00,1,0.005,1,0.049
1,64,0.002,0.4,22,2,2,1,2024-04-23 01:00,1,0.005,2,0.047
1,64,0.002,0.4,29,2,2,1,2024-04-22 24:00,1,0.006,2,0.047
1,63,0.002,0.4,28,2,2,1,2024-04-22 23:00,1,0.007,2,0.045
1,58,0.002,0.4,31,2,2,1,2024-04-22 22:00,1,0.010,2,0.039
1,58,0.002,0.4,33,2,2,1,2024-04-22 21:00,1,0.010,2,0.038
1,59,0.002,0.4,31,2,2,1,2024-04-22 20:00,1,0.011,2,0.036
1,60,0.002,0.4,34,2,2,1,2024-04-22 19:00,1,0.013,2,0.034
1,61,0.002,0.4,46,2,2,1,2024-04-22 18:00,1,0.014,2,0.032
1,60,0.002,0.4,35,1,2,1,2024-04-22 17:00,1,0.016,2,0.030
1,61,0.002,0.4,42,2,2,1,2024-04-22 16:00,1,0.016,2,0.031
1,62,0.002,0.4,39,1,2,1,2024-04-22 15:00,1,0.019,2,0.024
1,62,0.002,0.4,40,1,2,1,2024-04-22 14:00,1,0.018,2,0.025
