so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.3,21,2,2,1,2024-04-23 11:00,1,0.006,1,0.057
1,72,0.001,0.3,19,2,2,1,2024-04-23 10:00,1,0.004,1,0.056
1,68,0.001,0.3,23,2,2,1,2024-04-23 09:00,1,0.007,1,0.051
1,63,0.001,0.3,20,2,2,1,2024-04-23 08:00,1,0.011,1,0.045
1,62,0.001,0.3,15,2,2,1,2024-04-23 07:00,1,0.010,1,0.044
1,63,0.001,0.3,15,2,2,1,2024-04-23 06:00,1,0.008,1,0.045
1,63,0.001,0.2,15,2,2,1,2024-04-23 05:00,1,0.006,1,0.045
1,59,0.001,0.2,14,2,2,1,2024-04-23 04:00,1,0.006,1,0.041
1,60,0.001,0.2,13,2,2,1,2024-04-23 03:00,1,0.004,1,0.042
1,61,0.001,0.2,13,2,2,1,2024-04-23 02:00,1,0.005,1,0.043
1,54,0.001,0.3,22,2,2,1,2024-04-23 01:00,1,0.009,2,0.034
1,56,0.001,0.3,29,1,2,1,2024-04-22 24:00,1,0.015,2,0.020
1,56,0.001,0.5,33,1,2,1,2024-04-22 23:00,1,0.013,2,0.026
1,56,0.001,0.5,39,2,2,1,2024-04-22 22:00,1,0.011,2,0.034
1,55,0.001,0.5,45,2,2,1,2024-04-22 21:00,1,0.013,2,0.034
1,56,0.001,0.5,35,2,2,1,2024-04-22 20:00,1,0.014,2,0.037
1,70,0.001,0.4,29,2,2,1,2024-04-22 19:00,1,0.009,2,0.054
1,78,0.001,0.3,32,2,2,1,2024-04-22 18:00,1,0.006,2,0.063
1,80,0.001,0.3,39,2,2,1,2024-04-22 17:00,1,0.004,2,0.066
1,79,0.001,0.3,34,2,2,1,2024-04-22 16:00,1,0.007,2,0.065
1,79,0.001,0.3,36,2,2,1,2024-04-22 15:00,1,0.005,2,0.065
1,78,0.001,0.3,33,2,2,1,2024-04-22 14:00,1,0.005,2,0.063
