so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,58,0.003,0.3,27,2,2,1,2024-04-23 11:00,1,0.007,2,0.039
1,52,0.003,0.3,32,1,2,1,2024-04-23 10:00,1,0.007,2,0.030
1,52,0.003,0.3,30,1,2,1,2024-04-23 09:00,1,0.007,2,0.024
1,53,0.003,0.3,30,1,2,1,2024-04-23 08:00,1,0.007,2,0.024
1,54,0.003,0.3,25,2,2,1,2024-04-23 07:00,1,0.006,2,0.032
1,56,0.003,0.3,27,2,2,1,2024-04-23 06:00,1,0.007,2,0.034
1,62,0.003,0.3,32,2,2,1,2024-04-23 05:00,1,0.006,2,0.037
1,64,0.003,0.3,34,2,2,1,2024-04-23 04:00,1,0.006,2,0.039
1,65,0.003,0.3,34,2,2,1,2024-04-23 03:00,1,0.006,2,0.040
1,66,0.003,0.3,65,2,2,1,2024-04-23 02:00,1,0.007,2,0.044
1,68,0.003,0.3,40,2,2,1,2024-04-23 01:00,1,0.007,2,0.052
1,65,0.003,0.3,39,2,2,1,2024-04-22 24:00,1,0.006,2,0.048
1,64,0.003,0.3,39,2,2,1,2024-04-22 23:00,1,0.006,2,0.047
1,69,0.003,0.3,38,2,2,1,2024-04-22 22:00,1,0.007,2,0.047
1,72,0.003,0.3,36,2,2,1,2024-04-22 21:00,1,0.008,2,0.046
1,72,0.003,0.3,41,2,2,1,2024-04-22 20:00,1,0.010,2,0.055
1,72,0.003,0.4,52,2,2,1,2024-04-22 19:00,1,0.012,2,0.047
1,70,0.004,0.4,51,2,2,1,2024-04-22 18:00,1,0.015,2,0.050
1,69,0.003,0.3,66,2,2,1,2024-04-22 17:00,1,0.012,2,0.050
1,65,0.003,0.4,48,2,2,1,2024-04-22 16:00,1,0.009,2,0.045
1,65,0.003,0.4,50,2,2,1,2024-04-22 15:00,1,0.007,2,0.036
1,64,0.003,0.3,49,2,2,1,2024-04-22 14:00,1,0.007,2,0.032
