so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,59,0.004,0.3,36,2,2,1,2024-04-23 11:00,1,0.018,2,0.041
1,58,0.004,0.3,33,2,2,1,2024-04-23 10:00,1,0.019,2,0.039
1,55,0.004,0.3,33,2,2,1,2024-04-23 09:00,1,0.022,2,0.036
1,53,0.004,0.3,33,2,2,1,2024-04-23 08:00,1,0.024,2,0.034
1,50,0.004,0.4,27,1,1,1,2024-04-23 07:00,1,0.028,1,0.029
1,53,0.003,0.3,27,2,2,1,2024-04-23 06:00,1,0.021,1,0.033
1,54,0.003,0.3,27,2,2,1,2024-04-23 05:00,1,0.016,2,0.035
1,55,0.003,0.3,26,2,2,1,2024-04-23 04:00,1,0.014,2,0.033
1,59,0.003,0.3,26,2,2,1,2024-04-23 03:00,1,0.014,2,0.031
1,61,0.004,0.3,35,2,2,1,2024-04-23 02:00,1,0.018,2,0.034
1,61,0.004,0.4,49,2,2,1,2024-04-23 01:00,1,0.026,2,0.043
1,56,0.003,0.3,41,2,2,1,2024-04-22 24:00,1,0.030,2,0.034
1,68,0.003,0.3,35,2,2,1,2024-04-22 23:00,1,0.019,2,0.052
1,81,0.003,0.3,35,2,2,1,2024-04-22 22:00,1,0.009,2,0.067
1,81,0.003,0.3,34,2,2,1,2024-04-22 21:00,1,0.014,2,0.067
1,76,0.003,0.3,32,2,2,1,2024-04-22 20:00,1,0.018,2,0.061
1,71,0.003,0.3,37,2,2,1,2024-04-22 19:00,1,0.024,2,0.055
1,78,0.003,0.3,40,2,2,1,2024-04-22 18:00,1,0.018,2,0.064
1,77,0.003,0.3,40,2,2,1,2024-04-22 17:00,1,0.019,2,0.062
1,73,0.003,0.3,37,2,2,1,2024-04-22 16:00,1,0.019,2,0.058
1,72,0.003,0.3,35,2,2,1,2024-04-22 15:00,1,0.015,2,0.056
1,67,0.003,0.3,39,2,2,1,2024-04-22 14:00,1,0.017,2,0.050
