so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.002,0.4,44,2,2,1,2024-04-23 11:00,1,0.007,1,0.051
1,63,0.002,0.4,32,2,2,1,2024-04-23 10:00,1,0.008,1,0.046
1,56,0.002,0.4,20,2,2,1,2024-04-23 09:00,1,0.009,1,0.037
1,47,0.002,0.4,17,1,1,1,2024-04-23 08:00,1,0.008,1,0.028
1,37,0.002,0.4,19,1,1,1,2024-04-23 07:00,1,0.008,1,0.018
1,33,0.002,0.4,17,1,1,1,2024-04-23 06:00,1,0.008,1,0.008
1,37,0.002,0.4,21,1,1,1,2024-04-23 05:00,1,0.007,1,0.014
1,37,0.002,0.4,19,1,1,1,2024-04-23 04:00,1,0.007,1,0.014
1,37,0.002,0.4,20,1,1,1,2024-04-23 03:00,1,0.009,1,0.016
1,40,0.002,0.4,20,1,1,1,2024-04-23 02:00,1,0.014,1,0.013
1,37,0.002,0.4,21,1,1,1,2024-04-23 01:00,1,0.008,1,0.022
1,53,0.002,0.4,23,2,2,1,2024-04-22 24:00,1,0.008,1,0.033
1,53,0.002,0.4,19,2,2,1,2024-04-22 23:00,1,0.009,1,0.033
1,40,0.002,0.4,22,1,1,1,2024-04-22 22:00,1,0.011,1,0.024
1,42,0.002,0.4,16,1,1,1,2024-04-22 21:00,1,0.010,1,0.025
1,33,0.002,0.4,18,1,1,1,2024-04-22 20:00,1,0.013,1,0.013
1,50,0.002,0.4,17,1,1,1,2024-04-22 19:00,1,0.012,1,0.030
1,60,0.002,0.4,17,2,2,1,2024-04-22 18:00,1,0.012,1,0.042
1,58,0.002,0.4,25,2,2,1,2024-04-22 17:00,1,0.013,1,0.040
1,53,0.002,0.4,23,2,2,1,2024-04-22 16:00,1,0.020,1,0.034
1,53,0.002,0.4,24,2,2,1,2024-04-22 15:00,1,0.019,1,0.033
1,60,0.002,0.4,18,2,2,1,2024-04-22 14:00,1,0.011,1,0.042
1,59,0.002,0.4,22,2,2,1,2024-04-22 13:00,1,0.010,1,0.041
