so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,78,0.002,0.4,27,2,2,1,2024-04-23 11:00,1,0.008,1,0.064
1,76,0.002,0.4,25,2,2,1,2024-04-23 10:00,1,0.009,1,0.061
1,74,0.002,0.4,29,2,2,1,2024-04-23 09:00,1,0.009,1,0.059
1,70,0.002,0.4,27,2,2,1,2024-04-23 08:00,1,0.012,1,0.054
1,58,0.001,0.7,22,2,2,1,2024-04-23 07:00,1,0.023,1,0.040
1,64,0.001,0.6,22,2,2,1,2024-04-23 06:00,1,0.014,1,0.047
1,63,0.002,0.7,22,2,2,1,2024-04-23 05:00,1,0.016,1,0.046
1,61,0.002,0.8,17,2,2,1,2024-04-23 04:00,1,0.019,1,0.043
1,65,0.001,0.7,25,2,2,1,2024-04-23 03:00,1,0.014,1,0.048
1,70,0.001,0.5,22,2,2,1,2024-04-23 02:00,1,0.010,1,0.054
1,70,0.001,0.5,20,2,2,1,2024-04-23 01:00,1,0.010,1,0.054
1,71,0.001,0.4,25,2,2,1,2024-04-22 24:00,1,0.009,1,0.055
1,69,0.002,0.4,23,2,2,1,2024-04-22 23:00,1,0.010,1,0.053
1,71,0.002,0.4,25,2,2,1,2024-04-22 22:00,1,0.009,1,0.055
1,70,0.002,0.4,27,2,2,1,2024-04-22 21:00,1,0.009,2,0.054
1,72,0.002,0.4,30,2,2,1,2024-04-22 20:00,1,0.009,2,0.056
1,73,0.002,0.4,32,2,2,1,2024-04-22 19:00,1,0.011,2,0.058
1,75,0.002,0.4,29,2,2,1,2024-04-22 18:00,1,0.011,2,0.060
1,77,0.002,0.4,32,2,2,1,2024-04-22 17:00,1,0.011,2,0.062
1,78,0.003,0.4,37,2,2,1,2024-04-22 16:00,1,0.010,2,0.064
1,78,0.002,0.4,28,2,2,1,2024-04-22 15:00,1,0.009,2,0.063
1,74,0.002,0.4,33,2,2,1,2024-04-22 14:00,1,0.011,2,0.059
1,69,0.002,0.5,30,2,2,1,2024-04-22 13:00,1,0.013,2,0.053
