so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,78,0.003,0.3,23,2,2,1,2024-04-23 11:00,1,0.007,1,0.063
1,74,0.003,0.3,19,2,2,1,2024-04-23 10:00,1,0.005,1,0.059
1,66,0.003,0.3,22,2,2,1,2024-04-23 09:00,1,0.006,1,0.049
1,47,0.003,0.3,26,1,1,1,2024-04-23 08:00,1,0.014,1,0.028
1,45,0.003,0.3,28,1,1,1,2024-04-23 07:00,1,0.010,1,0.027
1,51,0.003,0.3,19,2,2,1,2024-04-23 06:00,1,0.009,1,0.031
1,40,0.003,0.3,17,1,1,1,2024-04-23 05:00,1,0.011,1,0.024
1,53,0.003,0.3,17,2,2,1,2024-04-23 04:00,1,0.006,1,0.034
1,58,0.003,0.3,17,2,2,1,2024-04-23 03:00,1,0.006,1,0.039
1,51,0.003,0.3,20,2,2,1,2024-04-23 02:00,1,0.011,1,0.031
1,61,0.003,0.3,21,2,2,1,2024-04-23 01:00,1,0.007,1,0.043
1,63,0.003,0.4,19,2,2,1,2024-04-22 24:00,1,0.008,1,0.045
1,61,0.003,0.4,28,2,2,1,2024-04-22 23:00,1,0.011,1,0.043
1,63,0.003,0.3,26,2,2,1,2024-04-22 22:00,1,0.006,1,0.046
1,71,0.003,0.3,27,2,2,1,2024-04-22 21:00,1,0.004,1,0.055
1,72,0.003,0.3,28,2,2,1,2024-04-22 20:00,1,0.006,1,0.056
1,72,0.003,0.3,32,2,2,1,2024-04-22 19:00,1,0.008,1,0.056
1,79,0.003,0.3,26,2,2,1,2024-04-22 18:00,1,0.005,1,0.065
1,81,0.003,0.3,30,2,2,1,2024-04-22 17:00,1,0.006,1,0.067
1,81,0.003,0.3,30,2,2,1,2024-04-22 16:00,1,0.004,1,0.067
1,80,0.003,0.3,25,2,2,1,2024-04-22 15:00,1,0.004,1,0.066
1,79,0.003,0.3,27,2,2,1,2024-04-22 14:00,1,0.005,2,0.065
