so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,63,0.004,0.6,50,2,2,1,2024-04-23 11:00,1,0.018,2,0.035
1,61,0.005,0.6,51,2,2,1,2024-04-23 10:00,1,0.021,2,0.034
1,60,0.005,0.5,47,2,2,1,2024-04-23 09:00,1,0.023,2,0.032
1,59,0.005,0.5,34,2,2,1,2024-04-23 08:00,1,0.020,2,0.036
1,63,0.004,0.5,34,2,2,1,2024-04-23 07:00,1,0.016,2,0.045
1,68,0.004,0.5,45,2,2,1,2024-04-23 06:00,1,0.013,2,0.052
1,67,0.005,0.6,40,2,2,1,2024-04-23 05:00,1,0.016,2,0.050
1,66,0.003,0.6,36,2,2,1,2024-04-23 04:00,1,0.016,2,0.049
1,68,0.003,0.5,38,2,2,1,2024-04-23 03:00,1,0.012,2,0.051
1,66,0.004,0.5,35,2,2,1,2024-04-23 02:00,1,0.013,2,0.049
1,66,0.003,0.5,35,2,2,1,2024-04-23 01:00,1,0.013,2,0.049
1,69,0.003,0.5,43,2,2,1,2024-04-22 24:00,1,0.013,2,0.048
1,71,0.004,0.6,44,2,2,1,2024-04-22 23:00,1,0.018,2,0.044
1,73,0.006,0.6,48,2,2,1,2024-04-22 22:00,1,0.019,2,0.042
1,76,0.006,1.2,49,2,2,1,2024-04-22 21:00,1,0.023,2,0.036
1,77,0.005,1.1,49,2,2,1,2024-04-22 20:00,1,0.024,2,0.033
1,78,0.006,1.1,50,1,2,1,2024-04-22 19:00,1,0.028,2,0.027
1,79,0.006,0.8,60,1,2,1,2024-04-22 18:00,1,0.027,2,0.029
1,77,0.005,0.8,55,1,2,1,2024-04-22 17:00,1,0.028,2,0.027
1,77,0.006,0.6,56,1,2,1,2024-04-22 16:00,1,0.024,2,0.029
1,79,0.007,0.6,60,2,2,1,2024-04-22 15:00,1,0.020,2,0.032
1,78,0.004,0.5,50,2,2,1,2024-04-22 14:00,1,0.021,2,0.031
1,80,0.004,0.6,57,1,2,1,2024-04-22 13:00,1,0.023,2,0.027
