so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,89,0.005,0.4,32,2,2,1,2024-04-23 11:00,1,0.008,2,0.077
1,82,0.006,0.6,33,2,2,1,2024-04-23 10:00,1,0.008,2,0.068
1,70,0.007,0.7,39,2,2,1,2024-04-23 09:00,1,0.012,1,0.054
1,61,0.004,0.8,30,1,2,1,2024-04-23 08:00,1,0.018,1,0.028
1,59,0.003,0.7,28,1,2,1,2024-04-23 07:00,1,0.014,1,0.019
1,59,0.003,0.6,25,1,2,1,2024-04-23 06:00,1,0.010,1,0.021
1,61,0.003,0.6,26,1,2,1,2024-04-23 05:00,1,0.008,1,0.025
1,64,0.003,0.6,25,1,2,1,2024-04-23 04:00,1,0.007,1,0.021
1,66,0.003,0.6,28,1,2,1,2024-04-23 03:00,1,0.008,2,0.019
1,66,0.003,0.5,30,1,2,1,2024-04-23 02:00,1,0.007,2,0.028
1,69,0.004,0.4,30,2,2,1,2024-04-23 01:00,1,0.007,2,0.034
1,69,0.003,0.4,29,2,2,1,2024-04-22 24:00,1,0.007,2,0.039
1,69,0.003,0.4,32,2,2,1,2024-04-22 23:00,1,0.007,2,0.043
1,69,0.003,0.3,32,2,2,1,2024-04-22 22:00,1,0.006,2,0.046
1,69,0.003,0.3,27,2,2,1,2024-04-22 21:00,1,0.006,2,0.051
1,73,0.003,0.4,41,2,2,1,2024-04-22 20:00,1,0.006,2,0.057
1,75,0.004,0.5,31,2,2,1,2024-04-22 19:00,1,0.009,2,0.060
1,79,0.004,0.4,42,2,2,1,2024-04-22 18:00,1,0.007,2,0.065
1,82,0.004,0.5,41,2,2,1,2024-04-22 17:00,1,0.008,2,0.068
1,88,0.007,0.7,41,2,2,1,2024-04-22 16:00,1,0.010,2,0.076
1,87,0.007,0.8,44,2,2,1,2024-04-22 15:00,1,0.012,2,0.074
1,89,0.006,0.7,32,2,2,1,2024-04-22 14:00,1,0.012,2,0.077
1,78,0.004,0.5,29,2,2,1,2024-04-22 13:00,1,0.008,2,0.064
