so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,o3Flag,pm10Flag
1,70,0.001,0.3,12,2,2,1,2024-04-23 11:00,1,0.002,1,0.054,,
1,69,0.001,0.3,13,2,2,1,2024-04-23 10:00,1,0.003,1,0.052,,
1,72,0.001,0.4,24,2,2,1,2024-04-23 09:00,1,0.004,2,0.051,,
1,72,0.001,0.4,37,1,2,1,2024-04-23 08:00,1,0.012,2,0.020,,
1,66,0.001,1.0,40,1,2,1,2024-04-23 07:00,1,0.011,1,0.019,,
1,64,0.001,0.8,24,1,2,1,2024-04-23 06:00,1,0.008,1,0.023,,
1,72,0.001,0.3,18,1,2,1,2024-04-23 05:00,1,0.006,1,0.025,,
1,87,0.001,0.3,20,2,2,1,2024-04-23 04:00,1,0.005,2,0.038,,
1,97,0.001,0.4,29,2,2,1,2024-04-23 03:00,1,0.003,2,0.039,,
1,-,0.001,0.7,50,2,,1,2024-04-23 02:00,1,0.003,,0.046,,
1,-,0.001,1.3,66,2,,1,2024-04-23 01:00,1,0.004,,0.073,,
1,-,0.001,1.8,37,,,1,2024-04-22 24:00,1,0.007,,-,통신장애,
1,-,0.001,0.4,20,2,,1,2024-04-22 23:00,1,0.003,,0.078,,
1,-,0.001,0.3,21,2,,1,2024-04-22 22:00,1,0.003,,0.047,,
1,-,0.001,0.3,22,2,,1,2024-04-22 21:00,1,0.004,,0.041,,
1,-,0.001,0.3,24,2,,1,2024-04-22 20:00,1,0.003,,0.042,,
1,-,0.001,0.3,32,2,,1,2024-04-22 19:00,1,0.003,,0.047,,
1,-,0.001,0.3,-,2,,1,2024-04-22 18:00,1,0.003,,0.064,,통신장애
1,-,0.001,0.3,-,2,,1,2024-04-22 17:00,1,0.002,,0.064,,통신장애
1,-,0.001,0.3,-,2,,1,2024-04-22 16:00,1,0.003,,0.063,,통신장애
1,76,0.001,0.3,-,2,2,1,2024-04-22 15:00,1,0.003,1,0.061,,통신장애
1,74,0.001,0.3,24,2,2,1,2024-04-22 14:00,1,0.003,1,0.059,,
1,72,0.001,0.3,27,2,2,1,2024-04-22 13:00,1,0.003,1,0.056,,
